Identifier 	SK_SC_1	SK_TC_1	SK_SC_2	SK_TC_2	H3B_Ortho_1	H3B_Ortho_2	H3B_Ortho_3	H3B_SC_1	H3B_SC_2	H3B_TC_1	H3B_TC_2	HCC_06	HCC_07	HCC_08	HCC_09	HCC_10	HCC_11	HCC_12	HCC_13	HCC_14	HCC_15	HUH7_Ortho_1	HUH7_SC_1	HUH7_SC_2	HUH7_SC_3	HUH7_TC_1	HUH7_TC_2	NNL_01	NNL_02	NNL_03	NNL_04	NNL_05	Cluster_Number	Cluster_Repr	
NM_001010	539.59	993.03	747.86	1384.56	644.53	487.18	677.72	594.73	697.28	622.22	629.21	596.61	523.53	1656.82	1871.38	436.55	324.09	520.37	439.56	464.3	875.97	565.73	733.43	829.1	851.2	837.81	1055.73	423.36	351.43	524.36	351.83	403.02	3	26294	
NM_000986	513.28	1341.04	439.53	1545.95	602.52	406.99	997.85	538.06	646.07	799.96	968.15	639.28	770.69	807.83	1513.82	375.19	338.86	410.61	334.75	391.39	786.09	697.19	726.73	1361.35	1208.94	2213.85	1993.95	349.35	484.0	403.79	456.34	332.87	3	26294	
NM_000976	533.18	1558.83	626.78	1622.64	838.31	838.34	980.93	830.92	918.4	748.98	885.77	540.23	711.31	1312.5	1520.96	445.44	411.74	443.83	478.24	465.17	797.66	587.1	570.85	822.86	858.95	1474.79	1217.2	324.37	352.5	424.98	422.52	535.29	3	26294	
NM_012423	673.57	1415.52	711.97	1454.83	646.56	733.05	870.92	857.96	999.16	685.41	821.23	517.59	1028.67	1155.35	2449.23	543.56	470.1	578.24	544.41	784.62	926.59	568.1	590.98	903.53	914.63	803.33	1063.08	347.13	443.26	464.17	371.81	513.69	3	26294	
NM_001011	612.63	913.03	599.5	1406.67	1286.2	708.31	1396.65	1134.37	1283.54	897.66	1243.55	449.63	735.73	1084.7	1903.76	696.93	264.27	666.23	434.81	461.7	690.06	529.84	512.63	793.24	759.16	896.08	979.05	380.82	292.56	394.45	376.27	346.92	3	26294	
NM_002954	431.9	964.18	682.96	1696.97	1065.04	546.12	1012.95	874.0	950.81	858.33	1074.91	370.81	659.98	617.35	1832.86	345.27	265.25	377.26	499.6	382.67	589.41	436.12	732.28	718.63	703.55	1138.63	1216.3	319.35	285.41	305.7	305.42	224.39	4	3902	
NM_001006	429.81	1533.26	469.03	1710.31	816.15	524.6	995.16	729.31	803.23	734.52	1124.27	515.58	1660.59	966.82	1135.98	247.0	245.44	208.58	443.76	289.46	981.42	654.7	587.86	1046.01	877.97	992.17	1639.43	267.42	388.11	310.29	322.65	317.86	4	3902	
NM_000982	377.5	881.35	414.92	1020.79	570.36	365.76	1065.56	479.87	629.49	769.2	848.08	316.16	447.39	289.13	1094.62	270.93	248.16	350.06	307.56	486.32	796.74	330.7	435.49	646.08	542.58	734.25	846.1	310.59	375.26	343.63	358.44	240.09	4	3902	
NM_006312	345.02	1079.8	457.86	999.63	722.06	595.69	904.96	788.96	810.83	533.14	777.86	520.25	493.68	872.39	852.77	416.07	300.35	361.26	320.55	373.24	937.38	585.08	515.02	875.28	885.17	957.87	979.5	271.85	319.58	349.42	305.61	390.97	4	3902	
NM_001026	414.98	821.66	430.54	965.26	502.43	282.65	653.18	539.59	637.13	466.62	643.05	477.31	399.71	1308.59	1583.65	395.6	248.24	342.77	264.29	224.88	622.59	536.57	625.14	864.51	664.25	1038.6	913.35	234.14	309.98	276.09	245.39	293.79	4	3902	
NM_000994	330.74	928.56	329.87	866.61	804.3	525.94	823.37	732.57	836.21	789.44	1064.18	437.33	551.97	945.86	1001.88	282.04	305.37	401.26	305.3	431.37	1146.37	876.2	1113.25	1136.18	1114.3	1487.95	1709.37	264.94	318.4	339.34	274.05	311.83	4	3902	
NM_001028	336.58	963.5	414.06	1112.38	757.66	543.03	965.53	704.42	859.13	486.44	779.51	415.89	352.0	649.77	980.34	318.8	253.82	429.05	479.21	473.73	720.34	230.62	204.18	366.31	321.81	492.14	532.36	275.76	351.5	391.9	359.8	338.45	4	3902	
NM_000982	380.92	912.07	433.62	996.3	567.78	456.62	1032.59	489.88	638.14	709.54	884.45	398.03	511.52	498.75	1104.93	438.96	360.16	338.2	334.27	536.31	646.15	341.63	371.87	667.28	593.45	688.98	819.9	417.3	381.11	472.68	414.6	380.88	4	3902	
NM_000971	311.35	974.64	360.99	994.19	682.96	401.62	889.49	654.68	805.73	675.07	973.37	481.97	381.05	510.6	1389.49	604.85	339.52	238.42	293.71	314.89	1074.34	328.99	499.29	571.63	487.37	850.33	813.12	221.18	269.11	247.69	240.91	230.83	4	3902	
NM_001019	318.1	701.07	338.05	935.01	772.8	539.92	1064.23	810.83	990.99	654.5	808.37	407.46	723.28	356.66	738.88	344.35	254.73	320.1	392.3	346.94	708.83	346.46	425.6	754.54	715.12	866.99	1073.53	261.56	432.69	332.98	364.48	310.28	4	3902	
NM_001023	360.91	863.63	370.57	1073.2	464.69	417.91	954.81	566.83	637.75	531.45	714.53	346.21	567.41	894.31	841.11	792.58	471.4	422.29	385.06	397.36	760.26	277.69	302.39	492.56	485.17	1047.86	798.42	290.59	401.14	398.01	390.9	327.72	4	3902	
NM_000981	659.22	1596.03	718.18	1521.95	803.57	533.54	608.35	799.49	761.35	720.5	918.97	513.96	389.55	852.38	878.03	381.05	274.87	418.05	600.46	487.35	638.6	366.95	398.57	644.37	566.96	808.04	895.3	302.03	338.17	389.95	306.11	399.23	4	3902	
NM_000970	672.2	999.0	642.98	1337.35	671.1	608.7	1069.6	853.41	905.61	772.51	1021.68	435.44	553.85	632.76	1613.22	438.03	309.65	390.29	511.15	513.31	949.25	647.45	713.08	1312.84	1232.85	1478.33	1689.25	267.04	366.76	352.02	324.89	336.4	4	3902	
NM_002032	195.7	1066.82	245.33	1183.27	219.8	339.24	273.14	232.82	283.25	218.47	215.9	365.55	397.75	231.62	382.85	200.86	547.36	1050.08	424.64	171.82	780.92	947.14	726.31	880.98	925.61	1774.55	1028.18	171.34	349.25	314.22	130.17	171.72	4	3902	
NM_001000	496.52	1004.74	690.96	1507.63	813.87	656.25	933.59	704.25	880.91	490.5	698.46	497.74	439.01	727.35	655.96	515.04	313.63	295.18	363.45	379.72	868.16	269.57	280.97	547.28	513.47	704.65	678.79	294.22	246.59	296.38	338.08	335.58	4	3902	
NM_001024	547.38	1151.95	602.08	1564.39	1513.09	995.03	1496.43	1158.48	1072.99	1010.75	1270.16	255.88	219.97	632.67	1105.9	308.14	272.93	350.83	319.4	707.13	941.39	558.35	531.07	806.59	787.51	1229.65	1537.4	257.97	273.92	273.22	263.89	201.01	4	3902	
NM_001961	306.89	1180.25	470.25	1098.44	676.4	681.82	874.19	884.77	846.51	632.07	850.79	321.08	803.53	1067.73	1245.07	586.76	386.4	278.06	427.42	787.21	593.47	405.99	472.68	650.19	744.25	788.36	947.04	292.27	410.91	486.01	373.67	438.07	4	3902	
NM_004135	301.71	704.87	336.92	1100.96	425.06	318.25	607.26	458.16	499.44	557.01	708.49	457.43	479.59	766.56	1313.24	297.27	293.6	338.71	407.24	464.78	691.62	364.24	413.94	681.74	643.91	703.22	919.11	292.08	304.26	344.67	350.99	368.68	4	3902	
NM_002952	399.34	1187.76	539.79	1251.97	949.08	828.42	1062.39	1039.55	1129.64	800.31	966.58	311.95	556.54	601.14	970.34	533.46	202.21	249.98	322.89	240.32	540.07	547.96	719.45	1015.46	1187.16	2941.26	1665.34	160.32	221.62	253.09	203.93	278.81	4	3902	
NM_000999	550.64	1767.71	675.64	1733.25	726.36	508.63	831.43	778.15	724.1	733.91	815.97	491.54	306.84	1059.39	823.52	606.11	272.15	888.13	628.58	525.84	927.36	471.98	467.72	823.45	699.76	1032.43	1000.71	305.86	327.09	366.36	316.19	339.14	4	3902	
NM_000989	302.74	732.34	324.61	953.37	560.29	372.83	883.06	538.66	715.78	534.8	641.0	449.96	330.65	533.79	1091.17	698.98	408.96	318.19	369.89	394.56	971.52	251.25	265.45	434.95	377.49	631.55	712.37	265.6	308.36	341.36	296.29	247.64	4	3902	
