RefSeq	Patient 1	Patient 2	Patient 3	Patient 4	Patient 5	Patient 6	Patient 7	Patient 8	Patient 9	Patient 10
NM_021450	0.41	9.24	0.86	3.18	5.01	7.98	8.74	8.12	1.42	4.1
NM_146687	9.86	9.53	6.16	7.69	3.63	3.94	8.05	2.19	3.42	7.4
NM_001033214	5.47	5.66	7.61	9.82	4.51	9.4	2.04	0.44	8.33	4.66
NM_011216	1.47	3.13	4.43	3.04	5.05	5.66	0.42	2.66	1.14	8.55
NM_173069	6.51	3.8	4.38	3.92	3.38	0.97	2.08	9.15	0.82	6.99
NM_011414	6.46	6.02	5.23	9.44	6.71	7.97	4.66	9.41	2.47	1.98
NM_146468	9.62	7.7	8.73	8.75	9.65	7.58	9.13	0.63	7.9	2.42
NM_177759	5.56	6.25	5.6	4.91	8.29	1.42	5.26	8.61	1.74	1.76
NM_001081074	0.97	3.92	3.46	7.63	3.36	7.85	9.89	9.32	0.82	2.67
NM_026428	0.78	0.12	2.5	2.75	4.07	4.46	4.68	9.89	1.6	3.53
NM_008685	4.95	8.89	4.28	9.29	9.92	8.05	0.73	6.89	4.97	7.83
NM_025499	0.92	1.47	7.78	3.82	6.77	8.41	4.13	0.3	6.17	8.7
XM_906777	0.76	3.13	4.15	7.13	2.45	5.22	6.74	8.27	3.1	3.54
NM_153062	3.15	4.75	0.41	1.99	3.76	2.04	6.43	9.68	2.1	1.62
NM_001081023	6.63	3.45	9.93	4.15	4.97	6.47	0.01	7.27	4.43	1.91
NM_025800	1.05	9.46	4.18	9.04	5.82	1.81	8.14	2.12	3.14	3.39
NM_001032727	5.37	6.6	4.5	1.59	7.65	1.11	8.87	3.16	2.81	8.36
NM_178721	2.17	5.98	7.57	2.92	9.44	3.28	9.24	1.99	5.29	4.4
NM_027172	7.66	2.32	9.3	8.32	5.35	4.4	7.59	0.5	1.65	5.02
NM_001077698	7.75	1.06	2.12	5.78	8.23	5.05	0.86	6.34	7.22	4.81
NM_013914	1.46	2	8.49	9.32	9.78	5.46	6.8	6.07	4.26	2.46
XM_916633	5.85	4.37	8.69	1.56	6.53	9.28	9.85	1.21	9.28	8.18
NM_026130	5.85	8.42	7.79	4.08	0.18	1.86	3.15	8.88	7.38	4.23
NM_001025577	1.01	9.67	0.4	8.52	4.16	1.2	3.09	0.35	8.39	4.32
NM_028601	1.2	8.65	9.56	2.42	3.44	1.35	3.85	2.84	0.75	8.12
NM_009183	5.67	8.77	6.48	9.34	2.21	4.6	2.25	5.41	2.2	9.93
NM_013754	6.93	8.44	3.74	3.64	0.77	3.55	8.78	3.36	8.36	2.38
NM_001008231	0.22	2.29	8.86	6.33	3.1	6.01	0.03	5.22	9.85	8.7
NM_144904	2.08	2.24	4.39	9.27	2.83	2.68	4.3	5.78	4.01	4.49
NM_172611	0.22	2.65	6.78	2.3	0.08	7.54	4.31	0.61	1.04	4.56
NM_009214	3.31	8.36	2.88	9.99	2.04	0.16	9.11	7.99	5.44	5.2
XM_904239	2.49	1.48	5.25	2.44	7.84	0.66	3.04	3.91	5.43	8.58
NM_175482	0.07	2.18	2.95	9.98	3.71	1.48	2.36	2.79	4.47	1.96
NM_011259	8.78	4.02	0.49	9.81	6.55	9.57	1.16	8.43	3.77	9.86
NM_145633	3.96	4.61	9.68	5.48	2.9	6.32	3.46	6.57	6.57	7.13
NM_025697	6.58	5.97	7.32	3.9	7.09	2.44	4.44	1.94	5.29	8.96
NM_001001980	5.24	0.04	5.73	9.25	3.25	7.54	5.81	7.84	6.23	1.83
NM_177345	3.59	2.31	8.41	4.23	2.54	3.9	2.6	7.2	4.47	9.55
NM_001039718	2.14	2.22	2.92	8.81	5.37	3.86	9.7	0.55	7.03	0.72
NM_011327	6.21	3.96	9.18	6.88	6.61	5.39	5.71	7.16	7.05	4.5
NM_008140	4.37	2.43	0.91	6.98	6.62	8.35	7.28	7.09	6.07	3.09
NM_019966	7.09	1.11	7.2	8.1	5.29	1.91	0.43	7.44	2	8.55
NM_133735	7.12	5.44	6.97	0.7	3.38	3.8	9.84	7.46	3.22	3.21
NM_010161	5.12	5.57	5.05	4.11	9.07	3.58	4.01	5.36	9.17	6.63
NM_146631	0.24	5.87	7.61	0.09	9.05	3.95	6.86	7.12	4.1	0.17
NM_027442	3.76	8.88	6.9	4.84	8.34	0.27	9.85	4.74	7.65	5.11
NM_177718	6.17	5.03	9.23	3.15	4.89	5.38	2.15	7.48	2.31	0.02
NM_008843	5.61	2.47	2.11	1.68	6.71	5.06	5.72	0.28	6.91	8.53
NM_025666	5.93	4.86	4.47	7.76	7.79	3.55	9.08	6.72	2.94	9.51
NM_010259	3.84	7.35	8.53	1.47	0.24	9.78	9.75	7.98	3.96	5.03
NM_023279	3.36	3.53	4.23	7.46	4.94	0.1	6.58	6.62	4.13	3.34
NM_001044380	7.39	6.86	2.96	7.09	7.56	9.01	5.88	2.8	7.2	1.97
NM_025562	9.68	1.72	7.22	3.04	6.77	9.06	9.59	9.19	3.24	3.21
NM_008630	9.21	1.95	2.02	1.54	5.11	1.96	9.73	5.5	1.51	7.57
NM_028207	8.4	6.54	3.36	5.61	1.73	0.21	8.98	3.15	5.6	6.29
NM_019439	0.88	0.37	6.78	5.46	0.2	0.41	3.45	2.03	4	1.33
NM_001038627	4.88	0.72	8.5	0.88	7.32	6.56	1.98	0.9	3.71	7.5
XM_001476722	5.33	4.98	7.1	9.24	2.5	3.76	7.76	6.51	3.96	8.67
NM_172655	1.1	2.66	5.64	1.79	3.3	6.42	3.47	7.25	3.85	0.02
NM_029816	6.96	2.96	2.89	0.15	0.15	9.24	6.29	6.69	7.72	1.98
NM_010213	5.55	7.63	3.88	1.54	2.58	1.3	2.08	7.12	5	3.24
NM_008479	4.41	1.02	8.52	1.78	5.34	6.58	2.59	5.24	9.29	5.22
NM_001011758	9.45	4.44	8.14	2.59	8	9.9	9.33	0.59	3.15	0.57
NM_010243	5.62	9.8	6.83	1.52	6.29	2.78	4.44	9.91	9.47	5.2
XM_484171	3.19	5.04	9.01	1.59	1.89	6.15	3.74	3.67	3.05	5.08
NM_177568	3.42	9.05	7.82	8.07	0.89	6.22	2.79	7.16	9.71	7.7
NM_001031664	2.2	5.78	4.15	5.42	3.38	5.22	8.88	1.86	4.76	4.16
NM_134017	8.42	5.08	4.74	0.84	5.15	3.68	9.55	1.51	9.29	6.91
XM_001472005	7	1.36	6.23	2.3	3.44	0.12	5.39	4.36	4.18	7.25
NM_001002241	4.34	8	7.07	4.23	8.75	9.08	8.58	2.4	1.79	4.88
NM_001002240	4.63	9.04	3.92	7.71	1.76	9.07	5.26	8.67	6.34	1.42
NM_001002238	1.37	3.8	7.14	9.28	0.05	8.47	2.66	1.45	0.25	0.34
NM_011509	1.44	9.11	4.27	2.33	4.04	0.99	9	9.84	3.79	3.43
NM_172573	1.76	4.47	0.89	8.41	5.13	2.88	5.1	6.13	9.56	4.62
NM_025658	6.49	9.36	2.19	3.39	9.12	2.05	6.68	6.81	9.42	6.97
NM_010148	1.68	4.98	1.88	2.42	3.09	4.94	5.86	6.96	7.89	3.6
NM_028757	5.51	3.36	7.78	3.25	3.48	3.15	4.94	0.87	7.21	9.74
NM_023348	2.66	4.39	1.42	6.55	4.01	7.43	8.83	4.29	1.73	6.98
NM_001033194	7.28	7.45	4	4.1	9.8	9.99	1.59	7.24	4.8	2.13
NM_145417	1.45	8.22	2.25	1.01	1.26	6.7	4.03	7.59	0.15	9.25
NM_146742	6.5	1.74	9.95	8.02	4.25	7.21	8.58	2.27	5.69	2.02
NM_011242	0.64	0.98	8.22	1.56	4.73	0.1	8.17	3.86	8.93	5.47
XM_001474291	8.84	5.08	5.22	8.1	8.83	5.71	9.91	0.39	7.35	1.22
XM_001474270	6.18	3.46	7.17	1.06	1.02	6.26	8.18	1.47	8.93	5.23
NM_025519	9.85	2.92	0.24	3.1	9.84	2.06	7.9	9.36	0.44	3.04
XM_622100	7.24	1.62	8.58	3.71	0.55	5.93	8.88	3.54	2.94	7.51
NM_031998	7.06	3.83	3.95	6.52	1.22	6.67	1.62	3.5	2.93	6.55
NM_007955	4.72	3.64	8.74	3.98	7.16	8.62	9.88	0.26	4.15	0.54
NM_001037634	2.57	6.6	5.67	2.95	3.05	9.69	6.64	0.05	6.9	6.18
NM_144892	8.16	6.5	9.59	8.31	4.53	3.09	5.1	0.75	6.77	6.58
XM_985510	1.69	6.59	1.63	4.13	7.32	7.86	6.16	6.95	1.87	2.53
NM_213615	8.12	4.22	9.56	4.49	5.63	0.99	8.72	7.17	1.9	9.42
NM_130858	2.57	7.52	8.11	0.09	9.87	9.67	7.68	5.99	6.06	1.8
NM_144822	1.14	1.03	9.77	6.73	5.31	7.76	5.49	7.54	5.02	3.09
NM_029985	3.74	4.03	6.38	6.01	1.92	3.77	3.16	7.08	1.37	4.63
NM_010568	5.76	2.55	7.12	1.68	1.76	5.82	1.42	9.66	9.12	6.87
NM_013924	4.55	0.09	7.59	4.8	6.21	3.99	8.29	4.7	4.73	0.79
NM_001109691	5.95	9.8	0.54	1.43	5.3	8.99	2.03	8.94	6.13	8.79
NM_001109690	4.18	7.63	1.85	2.52	6.91	9.5	0.98	1.17	8.4	3.79
NM_001081075	1.55	1.45	3.83	7.1	9.64	4.1	3.67	9.07	8.91	8.05
NM_177910	0.29	7.8	7.6	5.66	4.05	8.07	0.61	1.34	7.92	3.67
XM_001005473	8.81	6.67	5.78	0.23	8.66	8.57	6.24	9.84	4.74	5.2
NM_207670	2.92	5.25	0.97	6.38	9.69	2.58	6.34	0.52	9.16	8.38
NM_177592	1.73	6.92	1.87	7.99	8.09	9.06	9.61	1.18	1.7	7.09
XM_904306	0.57	1.14	6.67	8.64	3.79	1.45	1.34	5.97	4.3	9.82
XM_001472686	9.41	4.61	3.16	9.77	8.82	4.62	3.01	7.32	8.58	5.35
NM_133897	3.4	1.9	3.76	0.41	1.18	4	5.47	8.14	9.59	0.7
NM_024225	6.08	4.5	4.45	1.89	7.27	4.6	6.28	6.84	1.51	9.56
NM_177353	2.08	9	4.58	6.32	2.83	2.05	1.85	1.62	0.3	2.33
NM_024291	0.68	9.35	7.75	4.51	0.97	4	7.06	5.37	4.39	2.83
NM_007858	7.53	2.72	6.71	2.9	8.53	1.3	0.31	4.43	1.65	8.81
NM_008377	8.58	0.74	4.53	4.34	7.08	9.25	0.43	3.89	5.99	4.35
NM_011167	1.32	0.33	5.97	6.06	5.7	4.09	5.22	9.23	3.32	8.3
XM_357781	6.37	7.8	1.92	1	7.36	7.01	0.21	4.82	9	0.02
NM_007738	4.76	4.2	1.7	5.4	8.1	5.52	8.6	5.36	4.93	9.57
NM_026431	1.17	3.25	6.22	9.16	5.55	6.15	3.12	8.59	3.76	1.35
NM_023063	3.61	9.42	0.5	4.71	7.91	2.94	9.1	8.35	1.94	7.53
NM_146493	1.82	8.04	5.66	1.92	9.33	2.19	0.23	8.86	7.86	6.13
NM_029286	5.89	6.89	4.96	3.15	2.71	4.77	3	8.85	7.91	1.89
NM_172607	6.19	6.02	6.17	7.66	0.96	2.63	5.74	8.4	8.84	3.72
NM_019677	9.98	4.54	5.25	0.23	3.85	5.28	5.32	9.6	4.63	2.7
NM_172777	7.57	3.48	6.59	7.28	0.03	2.64	9.16	5.79	9.78	4.41
NM_030131	4.3	0.24	5.73	2.15	6.59	3.62	4.46	5.57	0.74	3.14
NM_172845	2.56	2.05	3.35	0.32	3.72	4.95	3	5.59	0.69	4.5
NM_010587	8.71	4.52	6.36	4.01	5.34	0.4	4.66	3.34	4.8	7.51
NM_008806	8.05	4.27	2.11	8.16	8.51	7.4	7.62	2.65	2.11	7.77
NM_024272	8.32	4.61	0.47	2.01	5.48	0.76	4.43	5.24	9.81	1.37
NM_013613	3.27	4.6	3.95	8.81	1.55	4.38	2.94	8.04	9.53	8.3
NM_153782	3.99	4.07	2.65	9.59	3.81	6.39	9.65	1.59	8.24	6.55
NM_173068	2.5	2.24	2.32	4.53	2.39	0.27	5.41	6.41	8.21	5.16
NM_173067	4.82	6.05	7.78	5.9	1.19	8.49	6.61	7.11	8.44	6.35
XM_355727	4.28	1.87	0.25	5.26	7.86	4.46	0.26	2.94	6.16	0.22
NM_181061	1.31	8.91	8.1	4.76	1.05	8.84	1.65	6.25	2.95	0.36
NM_029420	7.74	1.3	8.74	2.28	0.88	1.06	2.95	7.62	7.6	4.73
NM_001037759	6.01	8.79	2.13	3.25	5.95	3.53	9.87	4.12	7.86	7.31
NM_009093	1.88	0.05	4.77	3.4	4.84	0.29	2.98	2.22	7.25	0.18
XM_908853	7.16	5.91	1.9	2.05	9.7	5.69	5.96	4.95	6.18	0.08
NM_053130	9.41	0.69	5.88	3.66	7.13	7.53	5.34	2.26	7.46	8.01
NM_010797	7.97	4.55	9.22	5.29	2.11	4.89	9.26	9.06	8.76	9.74
XM_001474884	9.23	4.91	6.48	8.37	2.53	7.74	7.81	6.57	6.48	2.41
NM_153080	0.09	0.04	3.63	8.17	8.1	1.53	2.4	7.63	1.85	0.84
XM_001003622	5.5	7.27	5.92	8.19	0.64	6.18	9.57	3.49	0.41	8.55
NM_021289	7.81	5.65	1.01	2.71	9.61	6.99	8.24	0.46	2.47	6.76
NM_028301	1.41	0.36	9.61	4.23	3.81	5.62	7.63	6.86	5.17	9.14
NM_023523	1.87	5.07	7.84	9.19	7.99	3.19	9.78	8.31	9.41	8.57
NM_001110209	2.57	9.85	2.72	8.1	7.71	2.51	6.84	5.81	7.4	6.33
NM_026036	2.57	3.61	5.83	3.39	9.36	1.77	0.75	5.45	8.94	0.49
NM_021454	5.48	4.49	8.34	3.9	5.9	6.13	8.88	6.66	1.35	6.11
NM_007621	4.39	7.89	8.37	0.02	7.04	4.69	7.07	4.67	5.26	2.46
NM_007730	8.46	0.5	0.79	6.54	2.07	6.55	3.74	4.29	6.85	2.38
NM_024186	1.67	0.5	4.52	1.57	6.86	8.76	4.62	5.06	0.19	9.83
XM_984546	4.37	2.43	3.62	0.25	0.9	9.97	2.39	4.27	9.89	5.16
NM_025898	6.04	3.98	7.37	3.82	2.1	9.18	2.91	0.09	6.63	6.79
NM_146938	5.97	0.74	0.24	3.72	3.45	2.38	9.08	0.63	0.93	2.97
NM_001077189	6.93	4.48	6.97	0.58	4.62	4.92	5.39	9.86	0.58	9.66
NM_007822	4.75	8.49	3.73	7.83	7.44	9.58	7.56	3.43	1.43	4.3
NM_029721	4.02	5.01	2.36	1.88	1.97	9.78	6.7	3.29	3.04	0.73
NM_080556	5.25	9.09	7.44	2.58	0.1	5.68	9.82	5.1	0.39	1.04
NM_010425	8.02	3.1	7.68	6.63	8.99	3.97	0.5	1.47	0.96	2.6
NM_008196	8.01	9.08	5.01	1.47	5.78	6.16	6.35	4.88	1.29	7.29
NM_010297	7.75	1.32	9.76	7.11	2.49	5.95	5.22	1.51	8.6	6.19
NM_175562	2.84	9.15	5.46	2.53	0.18	2.45	7.12	8.58	9.39	8.94
NM_027032	2.29	0.95	5.26	6.73	3.65	0.63	6.6	7.82	7.45	7.51
NM_009973	9.06	0.23	7.86	1.86	3.54	4.79	6.87	7.76	1.55	6.55
NM_015773	0.58	0.45	4.2	4.82	1.06	3.52	0.07	6.2	6.99	3.67
NM_007874	8.3	9.74	7.39	9.98	9.6	4.16	6.48	1.93	5.31	4.82
NM_022987	0.94	0.28	2.63	5.26	8.38	5.08	9.85	9.98	8.8	6.74
NM_144559	7.74	6.36	6.1	6.87	0.76	9.2	6.03	1.15	3.17	3.75
NM_144850	7.7	0.43	3.27	3.64	6.73	1.69	1.82	4.19	2.77	2.83
NM_018793	8.91	4.84	1.85	0.55	0.49	9.97	9.11	9.04	7.55	6.48
NM_001081300	6.98	1.27	2.58	5.25	3.29	6.94	3.84	7.71	9.65	6.16
NM_019492	7.79	0.47	6.9	1.8	4.83	3.21	4.22	1.82	4.62	3.67
NM_019775	4.41	2.11	7.77	8.73	1.13	6.15	8.68	2.53	7.96	5.03
XM_001478294	4.79	6.91	3.59	7.95	2.9	3.93	2.08	8.17	2.12	2.93
NM_016677	9.2	0.83	6.51	6.03	8.64	8.83	1.85	8.68	9.79	2.8
NM_153586	6.28	7.18	5.61	7.93	9.12	9.34	8.47	0.84	7.37	3.6
NM_008463	7.36	6.76	6.31	6.06	0.62	6.44	8.92	3.98	9.52	9.26
XM_001478252	1.78	4.44	2.34	9.42	8	0.6	2.59	4.13	8.72	3.29
NM_146875	1.76	1.67	3.95	1.83	5.02	5.47	7.35	7.5	8.71	9.71
NM_026021	1.75	4.65	4.68	6.08	7.66	1.13	5.99	8.64	4.78	1.72
NM_021548	0.24	4.94	3.12	5.96	0.06	7.15	6.34	8.42	5.57	5.67
NM_001039555	3.43	2.17	8.47	3.4	1.89	4.23	1.97	2.56	8.9	9.54
NM_001015681	6.12	7.08	8.3	6.33	8.55	1.1	8.37	2.91	4.66	6.88
NM_011541	6.28	8.92	0.5	9.77	2.16	6.33	9.25	8.51	2.2	2.46
XM_991287	9.4	2.91	8.71	7.12	5.34	6.61	1.05	3.19	9.83	2.51
NM_199027	3.05	1.56	5.27	6.91	3.17	6.02	3.76	2.77	5.24	6.55
NM_001081229	1.03	7.41	4.23	7.6	9.6	5.91	6.81	1.93	3.63	6.75
NM_001040690	3.42	7.92	1.07	9	7.3	6.39	7.74	6.48	2.88	3.24
NM_025667	8.3	0.64	2.71	9.49	3.27	1.7	3.58	7.87	5.63	7.58
NM_146659	9.05	0.51	1.91	4.23	8.59	9.88	7.31	3.4	4.59	9.35
NM_021324	1.43	7	6.08	0.47	3.09	2.55	4.09	1.36	4.16	0.53
XM_975612	6.05	1.96	2.47	6.6	5.77	7.65	8.8	9.38	4.22	3.78
NM_027442	1.89	9.66	7.36	6.77	8.77	2.34	4.42	1.98	3.98	8.3
NM_146453	3.72	7.95	1.34	7.2	6.73	3.18	0.69	9.17	1.61	8.03
NM_013464	5.11	2.2	0.34	8.46	9.31	2.43	5.67	7.13	5.77	0.33
NM_023628	2.47	0.11	1.56	1.58	9.83	5.85	4.49	8.17	0.98	1.97
NM_009201	2.01	7.69	8.73	7.18	6.33	7.34	7.17	1.11	6.92	2.85
NM_025512	6.05	2.48	2.97	3.72	7.69	7.51	5.52	7.11	4.57	7.07
NM_029643	0.21	6.47	7.66	8.46	0.6	5.06	0.52	9.32	4.14	5.72
NM_198604	9.72	8.12	2	0.81	3.06	9.03	8.99	5.3	9.68	5.68
NM_146796	4.96	7.32	4.81	4.27	8.17	7.48	4.63	6.14	2.12	3.55
NM_173770	7.19	7.74	0.24	3.7	3.88	2	4.36	7.03	3.79	1.89
NM_008157	7.51	8.59	8.9	2.62	7.89	2.24	3.21	7.11	4.3	9.35
NM_175526	9.36	9.42	2.58	3	9.3	3.63	3.31	8.67	0.08	8.58
NM_001040426	1.98	4.65	3.83	1.66	6.79	5.93	6.44	5.2	5.91	4.81
NM_001001144	6.71	9.42	5.41	8.65	6.53	1.07	5.06	5.79	4.09	2.15
NM_001109758	5.64	6.6	8.19	0.93	8.42	2.97	1.78	9.51	7.44	2.19
NM_153529	9.33	1.42	0.14	7.72	7.4	2.37	5.36	9.18	5.43	4.07
XM_001478012	8.49	3.87	7.75	8.07	4.53	1.68	7.65	9.92	2.81	5.44
NM_144532	7.4	8.26	2.15	2.76	3.44	8.44	9.13	7	6.16	1.9
NM_025281	1.08	6.07	4.82	3.8	5.06	3.5	1.35	7.82	0.21	5.79
NM_021314	8.73	8.81	0.87	4.02	4.59	8.83	3.99	8.34	8.38	1.11
NM_013702	0.82	0.43	0.62	6.16	5.33	2.68	1.09	9.56	5.06	1.43
NM_011999	7.2	3.15	3.12	0.13	3.61	4.6	9.72	0.73	4.87	2.68
NM_011370	5.01	7.73	1.37	3.8	6.75	5.16	3.24	6.85	0.59	3.56
NM_033477	0.22	3.35	9.33	3.28	0.67	9.29	2.14	2.75	4.89	3.94
XM_001481331	0.25	4.7	8.39	7.03	6.78	0.61	3.48	3.5	0.11	9.22
NM_013606	6.04	5.14	5.6	1.4	6.35	1.07	0.04	8.78	4.22	0.32
NM_011266	3.63	1.27	0.4	2.28	7.97	5.68	9.88	9.23	7.77	7.18
NM_172380	8.55	5.35	1.1	6.52	0.06	2.31	7.06	1.37	5.74	6.81
XM_001471897	5.09	5.65	7.5	5.63	4.94	0.96	7.35	2.18	8.81	9.67
NM_026570	5.06	8.26	6.48	2.75	1.06	8.23	3.97	0.58	1.93	7.71
NM_007926	4.59	7.31	3.57	3.12	5.82	9.96	5.86	0.74	9.96	0.59
NM_198895	6.98	5.31	4.87	2.4	3.72	3.29	1.78	4.16	2.79	7.96
NM_198894	8.78	6.21	7.82	9.95	7.79	1.41	4.66	9.75	3.54	5.74
NM_008769	9.7	9.51	3.9	1.58	5.13	2.39	1.52	7.88	5.73	0.92
NM_009366	9.45	5.43	6.43	3.98	3.55	9.15	6.27	2.33	3.76	9.93
NM_138582	0.79	3.9	6.55	7.13	4.12	8.75	1.83	0.86	0.46	8.59
NM_181516	5.75	1.99	6.87	5.31	2.81	9.9	7.04	4.98	0.3	7.99
NM_018797	9.66	1.9	4.09	2.44	4.14	4.21	6.79	1.66	7.91	5.65
NM_147075	0.51	2.01	8.55	7.94	7.17	7.78	0.82	6.15	0.14	4.27
XM_978287	0.7	9.3	1.68	9.58	0.99	7.38	1.67	1.13	2.41	1.54
NM_007909	6.85	9.64	4.33	6.14	8.03	6.21	1.15	8.69	1.7	7.54
NM_175334	8.02	0.6	7.45	0.56	5.06	0.01	4.03	3.27	4.44	3.62
XM_903358	0.07	8.72	4.26	2.58	0.29	1	4.99	9.8	2.49	0.12
NM_011881	8.83	4.3	8.16	7.8	4.81	2.14	7.59	3.89	7.61	2.35
NM_001039562	4.74	0.02	2.86	9.21	1.59	1.09	9.09	9.06	8.53	5.77
NM_023504	5.7	5.32	2.45	3.51	8.71	3.97	6.77	9.3	9.94	2.3
NM_028481	8.17	5.71	8.3	5.52	2.21	4.51	2.95	3.07	3.05	6.42
NM_021543	3.23	3.89	0.61	7.28	6.12	2.76	6.74	8.98	1.34	1.21
NM_011289	3.1	3.59	4.6	6.27	2.15	2.41	5.9	6.3	6.1	4.2
NM_011189	9.25	1.78	3.12	9.31	7.27	8.01	4.3	0.89	3.26	2.22
NM_009671	1.96	2.7	1.49	1.3	0.71	1.59	0.73	7.33	9.72	2.32
NM_032000	3.92	4.02	5.22	2.44	7.48	5.09	6.99	5.86	1.16	5.63
NM_021402	6.45	4.93	6.24	9.44	0.88	2.6	4.02	1.62	8.13	4.9
NM_134257	6.97	0.42	2.86	5.1	7.46	6.75	3.97	4.18	0.31	5.89
NM_007399	4.14	7.37	4.55	5.72	8.15	4.38	9.13	8.61	6.05	9.57
XM_924568	6.7	9.63	4.62	6.47	7.67	3.22	7.49	5.13	8.24	4.12
XM_924564	3.01	5.56	8.45	6.5	3.81	7.82	4.01	2.96	4.53	6.2
NM_009407	7.78	8.63	4.95	8	6.12	0.06	9.01	7.84	3.82	6.75
XM_917289	5.24	4.97	5.72	2.99	7.72	5.53	4.55	6.49	3.98	0.93
NM_153545	8.1	1.21	5.95	2.13	8.75	8.78	1.36	5.14	3.34	5.87
NM_001102405	2.84	6.89	1.44	0.76	7.18	8.29	2.98	8.42	5.75	4.46
NM_001102404	9.84	2.29	9.29	6.11	3.55	5.49	0.41	7.24	3.94	1.51
NM_177041	5.07	6.52	0.82	4.53	2.47	2.07	3.14	9.3	6.13	3.84
NM_009547	1.61	3.1	9.26	0.71	4.97	9.7	7.64	8.17	9.29	0.2
NM_146697	9.53	1.79	3.19	7.7	8.68	7.88	1.93	5.12	9.68	2.43
XM_981031	4.52	1.95	7.25	8.51	6.02	1.22	9.41	1.64	9.89	3.77
NM_183261	2.41	7	5.82	7.84	9.09	8.45	9.47	9.03	9.75	8.79
NM_177158	5.28	3.78	0.06	3.01	1.49	7.78	8.98	0.1	9.97	0.42
NM_023158	4.19	3.85	1.34	0.95	0.16	5.42	6.2	3.29	7.8	9.42
NM_011527	2.92	9.01	4.37	5.78	6.26	6.23	0.29	5.18	9.9	3.07
NM_013701	5.98	3.08	1.74	2.58	2.48	5.16	0.65	1.23	2.39	1.95
NM_145589	1.04	3.49	5.67	7.09	8.19	1.63	7.35	1.98	9.5	6.96
