RefSeq	Patient 1	Patient 2	Patient 3	Patient 4	Patient 5	Patient 6	Patient 7	Patient 8	Patient 9	Patient 10
NM_004544	0.78	0.12	2.5	2.75	4.07	4.46	4.68	9.89	1.6	3.53
NM_213609	4.95	8.89	4.28	9.29	9.92	8.05	0.73	6.89	4.97	7.83
NM_002962	0.92	1.47	7.78	3.82	6.77	8.41	4.13	0.3	6.17	8.7
NM_153235	0.76	3.13	4.15	7.13	2.45	5.22	6.74	8.27	3.1	3.54
NM_015394	3.15	4.75	0.41	1.99	3.76	2.04	6.43	9.68	2.1	1.62
NM_001201	6.63	3.45	9.93	4.15	4.97	6.47	0.01	7.27	4.43	1.91
NM_005914	1.05	9.46	4.18	9.04	5.82	1.81	8.14	2.12	3.14	3.39
NM_000059	5.37	6.6	4.5	1.59	7.65	1.11	8.87	3.16	2.81	8.36
NM_002029	2.17	5.98	7.57	2.92	9.44	3.28	9.24	1.99	5.29	4.4
NM_145006	7.66	2.32	9.3	8.32	5.35	4.4	7.59	0.5	1.65	5.02
NM_025134	7.75	1.06	2.12	5.78	8.23	5.05	0.86	6.34	7.22	4.81
NM_020716	1.46	2	8.49	9.32	9.78	5.46	6.8	6.07	4.26	2.46
NM_004206	5.85	4.37	8.69	1.56	6.53	9.28	9.85	1.21	9.28	8.18
NM_001098832	5.85	8.42	7.79	4.08	0.18	1.86	3.15	8.88	7.38	4.23
NM_145048	1.01	9.67	0.4	8.52	4.16	1.2	3.09	0.35	8.39	4.32
NM_032493	1.2	8.65	9.56	2.42	3.44	1.35	3.85	2.84	0.75	8.12
XM_931376	5.67	8.77	6.48	9.34	2.21	4.6	2.25	5.41	2.2	9.93
NM_014161	6.93	8.44	3.74	3.64	0.77	3.55	8.78	3.36	8.36	2.38
NM_033102	0.22	2.29	8.86	6.33	3.1	6.01	0.03	5.22	9.85	8.7
NM_001024596	2.08	2.24	4.39	9.27	2.83	2.68	4.3	5.78	4.01	4.49
NM_000748	0.22	2.65	6.78	2.3	0.08	7.54	4.31	0.61	1.04	4.56
NM_001005282	3.31	8.36	2.88	9.99	2.04	0.16	9.11	7.99	5.44	5.2
NM_016440	2.49	1.48	5.25	2.44	7.84	0.66	3.04	3.91	5.43	8.58
XM_712493	0.07	2.18	2.95	9.98	3.71	1.48	2.36	2.79	4.47	1.96
NM_005063	8.78	4.02	0.49	9.81	6.55	9.57	1.16	8.43	3.77	9.86
NM_001007088	3.96	4.61	9.68	5.48	2.9	6.32	3.46	6.57	6.57	7.13
NM_134447	6.58	5.97	7.32	3.9	7.09	2.44	4.44	1.94	5.29	8.96
XM_001134461	5.24	0.04	5.73	9.25	3.25	7.54	5.81	7.84	6.23	1.83
NM_000104	3.59	2.31	8.41	4.23	2.54	3.9	2.6	7.2	4.47	9.55
XM_001134441	2.14	2.22	2.92	8.81	5.37	3.86	9.7	0.55	7.03	0.72
XM_712420	6.21	3.96	9.18	6.88	6.61	5.39	5.71	7.16	7.05	4.5
NM_030665	4.37	2.43	0.91	6.98	6.62	8.35	7.28	7.09	6.07	3.09
NM_022808	7.09	1.11	7.2	8.1	5.29	1.91	0.43	7.44	2	8.55
NM_022807	7.12	5.44	6.97	0.7	3.38	3.8	9.84	7.46	3.22	3.21
NM_022806	5.12	5.57	5.05	4.11	9.07	3.58	4.01	5.36	9.17	6.63
NM_022805	0.24	5.87	7.61	0.09	9.05	3.95	6.86	7.12	4.1	0.17
NM_022804	3.76	8.88	6.9	4.84	8.34	0.27	9.85	4.74	7.65	5.11
NM_001077506	6.17	5.03	9.23	3.15	4.89	5.38	2.15	7.48	2.31	0.02
NM_001077505	5.61	2.47	2.11	1.68	6.71	5.06	5.72	0.28	6.91	8.53
NM_001077504	5.93	4.86	4.47	7.76	7.79	3.55	9.08	6.72	2.94	9.51
NM_001077503	3.84	7.35	8.53	1.47	0.24	9.78	9.75	7.98	3.96	5.03
NM_018088	3.36	3.53	4.23	7.46	4.94	0.1	6.58	6.62	4.13	3.34
NM_005587	7.39	6.86	2.96	7.09	7.56	9.01	5.88	2.8	7.2	1.97
NM_018289	9.68	1.72	7.22	3.04	6.77	9.06	9.59	9.19	3.24	3.21
NM_001039846	9.21	1.95	2.02	1.54	5.11	1.96	9.73	5.5	1.51	7.57
NM_033057	8.4	6.54	3.36	5.61	1.73	0.21	8.98	3.15	5.6	6.29
NM_001011700	0.88	0.37	6.78	5.46	0.2	0.41	3.45	2.03	4	1.33
NM_006622	4.88	0.72	8.5	0.88	7.32	6.56	1.98	0.9	3.71	7.5
NM_183377	5.33	4.98	7.1	9.24	2.5	3.76	7.76	6.51	3.96	8.67
NM_030794	1.1	2.66	5.64	1.79	3.3	6.42	3.47	7.25	3.85	0.02
NM_018374	6.96	2.96	2.89	0.15	0.15	9.24	6.29	6.69	7.72	1.98
NM_206880	5.55	7.63	3.88	1.54	2.58	1.3	2.08	7.12	5	3.24
NM_001012714	4.41	1.02	8.52	1.78	5.34	6.58	2.59	5.24	9.29	5.22
NM_017443	9.45	4.44	8.14	2.59	8	9.9	9.33	0.59	3.15	0.57
NM_207034	5.62	9.8	6.83	1.52	6.29	2.78	4.44	9.91	9.47	5.2
NM_053055	3.19	5.04	9.01	1.59	1.89	6.15	3.74	3.67	3.05	5.08
NM_207033	3.42	9.05	7.82	8.07	0.89	6.22	2.79	7.16	9.71	7.7
NM_207032	2.2	5.78	4.15	5.42	3.38	5.22	8.88	1.86	4.76	4.16
NM_020774	8.42	5.08	4.74	0.84	5.15	3.68	9.55	1.51	9.29	6.91
NM_001687	7	1.36	6.23	2.3	3.44	0.12	5.39	4.36	4.18	7.25
NM_002037	4.34	8	7.07	4.23	8.75	9.08	8.58	2.4	1.79	4.88
XM_114430	4.63	9.04	3.92	7.71	1.76	9.07	5.26	8.67	6.34	1.42
NM_005269	1.37	3.8	7.14	9.28	0.05	8.47	2.66	1.45	0.25	0.34
NM_003684	1.44	9.11	4.27	2.33	4.04	0.99	9	9.84	3.79	3.43
NM_001039350	1.76	4.47	0.89	8.41	5.13	2.88	5.1	6.13	9.56	4.62
NM_016157	6.49	9.36	2.19	3.39	9.12	2.05	6.68	6.81	9.42	6.97
NM_022127	1.68	4.98	1.88	2.42	3.09	4.94	5.86	6.96	7.89	3.6
NM_001001878	5.51	3.36	7.78	3.25	3.48	3.15	4.94	0.87	7.21	9.74
NM_001001877	2.66	4.39	1.42	6.55	4.01	7.43	8.83	4.29	1.73	6.98
NM_001001871	7.28	7.45	4	4.1	9.8	9.99	1.59	7.24	4.8	2.13
NM_170737	1.45	8.22	2.25	1.01	1.26	6.7	4.03	7.59	0.15	9.25
NM_170736	6.5	1.74	9.95	8.02	4.25	7.21	8.58	2.27	5.69	2.02
NM_005078	0.64	0.98	8.22	1.56	4.73	0.1	8.17	3.86	8.93	5.47
NM_004729	8.84	5.08	5.22	8.1	8.83	5.71	9.91	0.39	7.35	1.22
NM_153835	6.18	3.46	7.17	1.06	1.02	6.26	8.18	1.47	8.93	5.23
NM_203316	9.85	2.92	0.24	3.1	9.84	2.06	7.9	9.36	0.44	3.04
NM_032872	7.24	1.62	8.58	3.71	0.55	5.93	8.88	3.54	2.94	7.51
NM_147129	7.06	3.83	3.95	6.52	1.22	6.67	1.62	3.5	2.93	6.55
NM_005398	4.72	3.64	8.74	3.98	7.16	8.62	9.88	0.26	4.15	0.54
NM_001025253	2.57	6.6	5.67	2.95	3.05	9.69	6.64	0.05	6.9	6.18
NM_001025252	8.16	6.5	9.59	8.31	4.53	3.09	5.1	0.75	6.77	6.58
NM_016356	1.69	6.59	1.63	4.13	7.32	7.86	6.16	6.95	1.87	2.53
NM_000085	8.12	4.22	9.56	4.49	5.63	0.99	8.72	7.17	1.9	9.42
NM_130443	2.57	7.52	8.11	0.09	9.87	9.67	7.68	5.99	6.06	1.8
NM_174927	1.14	1.03	9.77	6.73	5.31	7.76	5.49	7.54	5.02	3.09
NM_001962	3.74	4.03	6.38	6.01	1.92	3.77	3.16	7.08	1.37	4.63
XM_001134429	5.76	2.55	7.12	1.68	1.76	5.82	1.42	9.66	9.12	6.87
NM_001508	4.55	0.09	7.59	4.8	6.21	3.99	8.29	4.7	4.73	0.79
NM_024991	5.95	9.8	0.54	1.43	5.3	8.99	2.03	8.94	6.13	8.79
NM_052817	4.18	7.63	1.85	2.52	6.91	9.5	0.98	1.17	8.4	3.79
NM_001856	1.55	1.45	3.83	7.1	9.64	4.1	3.67	9.07	8.91	8.05
XM_001130278	0.29	7.8	7.6	5.66	4.05	8.07	0.61	1.34	7.92	3.67
NM_012403	8.81	6.67	5.78	0.23	8.66	8.57	6.24	9.84	4.74	5.2
NM_001077397	2.92	5.25	0.97	6.38	9.69	2.58	6.34	0.52	9.16	8.38
NM_000425	1.73	6.92	1.87	7.99	8.09	9.06	9.61	1.18	1.7	7.09
XM_001128928	0.57	1.14	6.67	8.64	3.79	1.45	1.34	5.97	4.3	9.82
NM_172217	9.41	4.61	3.16	9.77	8.82	4.62	3.01	7.32	8.58	5.35
NM_176878	3.4	1.9	3.76	0.41	1.18	4	5.47	8.14	9.59	0.7
NM_176877	6.08	4.5	4.45	1.89	7.27	4.6	6.28	6.84	1.51	9.56
NM_004580	2.08	9	4.58	6.32	2.83	2.05	1.85	1.62	0.3	2.33
NM_002773	0.68	9.35	7.75	4.51	0.97	4	7.06	5.37	4.39	2.83
NM_007107	7.53	2.72	6.71	2.9	8.53	1.3	0.31	4.43	1.65	8.81
NM_001024611	8.58	0.74	4.53	4.34	7.08	9.25	0.43	3.89	5.99	4.35
XM_001128630	1.32	0.33	5.97	6.06	5.7	4.09	5.22	9.23	3.32	8.3
NM_024763	6.37	7.8	1.92	1	7.36	7.01	0.21	4.82	9	0.02
NM_001002909	4.76	4.2	1.7	5.4	8.1	5.52	8.6	5.36	4.93	9.57
NM_004959	1.17	3.25	6.22	9.16	5.55	6.15	3.12	8.59	3.76	1.35
NM_014344	3.61	9.42	0.5	4.71	7.91	2.94	9.1	8.35	1.94	7.53
NM_021190	1.82	8.04	5.66	1.92	9.33	2.19	0.23	8.86	7.86	6.13
NM_000101	5.89	6.89	4.96	3.15	2.71	4.77	3	8.85	7.91	1.89
NM_030789	6.19	6.02	6.17	7.66	0.96	2.63	5.74	8.4	8.84	3.72
NM_001647	9.98	4.54	5.25	0.23	3.85	5.28	5.32	9.6	4.63	2.7
NM_004734	7.57	3.48	6.59	7.28	0.03	2.64	9.16	5.79	9.78	4.41
NM_030632	4.3	0.24	5.73	2.15	6.59	3.62	4.46	5.57	0.74	3.14
NM_018477	2.56	2.05	3.35	0.32	3.72	4.95	3	5.59	0.69	4.5
NM_002553	8.71	4.52	6.36	4.01	5.34	0.4	4.66	3.34	4.8	7.51
NM_003002	8.05	4.27	2.11	8.16	8.51	7.4	7.62	2.65	2.11	7.77
NM_001001330	8.32	4.61	0.47	2.01	5.48	0.76	4.43	5.24	9.81	1.37
NM_016529	3.27	4.6	3.95	8.81	1.55	4.38	2.94	8.04	9.53	8.3
NM_001721	3.99	4.07	2.65	9.59	3.81	6.39	9.65	1.59	8.24	6.55
NM_001001563	2.5	2.24	2.32	4.53	2.39	0.27	5.41	6.41	8.21	5.16
NM_001001975	4.82	6.05	7.78	5.9	1.19	8.49	6.61	7.11	8.44	6.35
NM_014872	4.28	1.87	0.25	5.26	7.86	4.46	0.26	2.94	6.16	0.22
NM_007232	1.31	8.91	8.1	4.76	1.05	8.84	1.65	6.25	2.95	0.36
NM_002030	7.74	1.3	8.74	2.28	0.88	1.06	2.95	7.62	7.6	4.73
NM_006218	6.01	8.79	2.13	3.25	5.95	3.53	9.87	4.12	7.86	7.31
NM_021706	1.88	0.05	4.77	3.4	4.84	0.29	2.98	2.22	7.25	0.18
NM_032468	7.16	5.91	1.9	2.05	9.7	5.69	5.96	4.95	6.18	0.08
NM_032467	9.41	0.69	5.88	3.66	7.13	7.53	5.34	2.26	7.46	8.01
NM_032466	7.97	4.55	9.22	5.29	2.11	4.89	9.26	9.06	8.76	9.74
NM_138348	9.23	4.91	6.48	8.37	2.53	7.74	7.81	6.57	6.48	2.41
NM_016299	0.09	0.04	3.63	8.17	8.1	1.53	2.4	7.63	1.85	0.84
NM_052963	5.5	7.27	5.92	8.19	0.64	6.18	9.57	3.49	0.41	8.55
NM_153606	7.81	5.65	1.01	2.71	9.61	6.99	8.24	0.46	2.47	6.76
NM_138379	1.41	0.36	9.61	4.23	3.81	5.62	7.63	6.86	5.17	9.14
NM_015230	1.87	5.07	7.84	9.19	7.99	3.19	9.78	8.31	9.41	8.57
NM_001104631	2.57	9.85	2.72	8.1	7.71	2.51	6.84	5.81	7.4	6.33
NM_153444	2.57	3.61	5.83	3.39	9.36	1.77	0.75	5.45	8.94	0.49
XM_497545	5.48	4.49	8.34	3.9	5.9	6.13	8.88	6.66	1.35	6.11
NM_023011	4.39	7.89	8.37	0.02	7.04	4.69	7.07	4.67	5.26	2.46
NM_001033577	8.46	0.5	0.79	6.54	2.07	6.55	3.74	4.29	6.85	2.38
NM_001001551	1.67	0.5	4.52	1.57	6.86	8.76	4.62	5.06	0.19	9.83
NM_004395	4.37	2.43	3.62	0.25	0.9	9.97	2.39	4.27	9.89	5.16
NM_006064	6.04	3.98	7.37	3.82	2.1	9.18	2.91	0.09	6.63	6.79
NM_004174	5.97	0.74	0.24	3.72	3.45	2.38	9.08	0.63	0.93	2.97
NM_013306	6.93	4.48	6.97	0.58	4.62	4.92	5.39	9.86	0.58	9.66
NM_016106	4.75	8.49	3.73	7.83	7.44	9.58	7.56	3.43	1.43	4.3
NM_005214	4.02	5.01	2.36	1.88	1.97	9.78	6.7	3.29	3.04	0.73
NM_004061	5.25	9.09	7.44	2.58	0.1	5.68	9.82	5.1	0.39	1.04
NM_024906	8.02	3.1	7.68	6.63	8.99	3.97	0.5	1.47	0.96	2.6
NM_005965	8.01	9.08	5.01	1.47	5.78	6.16	6.35	4.88	1.29	7.29
XM_929977	7.75	1.32	9.76	7.11	2.49	5.95	5.22	1.51	8.6	6.19
XM_001126454	2.84	9.15	5.46	2.53	0.18	2.45	7.12	8.58	9.39	8.94
XM_001126443	2.29	0.95	5.26	6.73	3.65	0.63	6.6	7.82	7.45	7.51
NM_024326	9.06	0.23	7.86	1.86	3.54	4.79	6.87	7.76	1.55	6.55
NM_001008410	0.58	0.45	4.2	4.82	1.06	3.52	0.07	6.2	6.99	3.67
NM_206839	8.3	9.74	7.39	9.98	9.6	4.16	6.48	1.93	5.31	4.82
NM_203505	0.94	0.28	2.63	5.26	8.38	5.08	9.85	9.98	8.8	6.74
NM_203504	7.74	6.36	6.1	6.87	0.76	9.2	6.03	1.15	3.17	3.75
NM_001004737	7.7	0.43	3.27	3.64	6.73	1.69	1.82	4.19	2.77	2.83
NM_001296	8.91	4.84	1.85	0.55	0.49	9.97	9.11	9.04	7.55	6.48
NM_000356	6.98	1.27	2.58	5.25	3.29	6.94	3.84	7.71	9.65	6.16
NM_001013258	7.79	0.47	6.9	1.8	4.83	3.21	4.22	1.82	4.62	3.67
NM_001018025	4.41	2.11	7.77	8.73	1.13	6.15	8.68	2.53	7.96	5.03
NM_001018024	4.79	6.91	3.59	7.95	2.9	3.93	2.08	8.17	2.12	2.93
NM_004513	9.2	0.83	6.51	6.03	8.64	8.83	1.85	8.68	9.79	2.8
NM_001851	6.28	7.18	5.61	7.93	9.12	9.34	8.47	0.84	7.37	3.6
NM_001023569	7.36	6.76	6.31	6.06	0.62	6.44	8.92	3.98	9.52	9.26
NM_001033507	1.78	4.44	2.34	9.42	8	0.6	2.59	4.13	8.72	3.29
NM_017901	1.76	1.67	3.95	1.83	5.02	5.47	7.35	7.5	8.71	9.71
NM_014857	1.75	4.65	4.68	6.08	7.66	1.13	5.99	8.64	4.78	1.72
NM_152516	0.24	4.94	3.12	5.96	0.06	7.15	6.34	8.42	5.57	5.67
NM_032622	3.43	2.17	8.47	3.4	1.89	4.23	1.97	2.56	8.9	9.54
NM_018338	6.12	7.08	8.3	6.33	8.55	1.1	8.37	2.91	4.66	6.88
XM_941139	6.28	8.92	0.5	9.77	2.16	6.33	9.25	8.51	2.2	2.46
NM_147147	9.4	2.91	8.71	7.12	5.34	6.61	1.05	3.19	9.83	2.51
NM_000206	3.05	1.56	5.27	6.91	3.17	6.02	3.76	2.77	5.24	6.55
NM_002434	1.03	7.41	4.23	7.6	9.6	5.91	6.81	1.93	3.63	6.75
NM_001040118	3.42	7.92	1.07	9	7.3	6.39	7.74	6.48	2.88	3.24
NM_002227	8.3	0.64	2.71	9.49	3.27	1.7	3.58	7.87	5.63	7.58
NM_000144	9.05	0.51	1.91	4.23	8.59	9.88	7.31	3.4	4.59	9.35
NM_152233	1.43	7	6.08	0.47	3.09	2.55	4.09	1.36	4.16	0.53
NM_006084	6.05	1.96	2.47	6.6	5.77	7.65	8.8	9.38	4.22	3.78
XM_942438	1.89	9.66	7.36	6.77	8.77	2.34	4.42	1.98	3.98	8.3
NM_013430	3.72	7.95	1.34	7.2	6.73	3.18	0.69	9.17	1.61	8.03
XM_928870	5.11	2.2	0.34	8.46	9.31	2.43	5.67	7.13	5.77	0.33
NM_001098813	2.47	0.11	1.56	1.58	9.83	5.85	4.49	8.17	0.98	1.97
NM_001098812	2.01	7.69	8.73	7.18	6.33	7.34	7.17	1.11	6.92	2.85
NM_001098811	6.05	2.48	2.97	3.72	7.69	7.51	5.52	7.11	4.57	7.07
NM_006618	0.21	6.47	7.66	8.46	0.6	5.06	0.52	9.32	4.14	5.72
NM_001005479	9.72	8.12	2	0.81	3.06	9.03	8.99	5.3	9.68	5.68
NM_133473	4.96	7.32	4.81	4.27	8.17	7.48	4.63	6.14	2.12	3.55
NM_001010915	7.19	7.74	0.24	3.7	3.88	2	4.36	7.03	3.79	1.89
NM_152360	7.51	8.59	8.9	2.62	7.89	2.24	3.21	7.11	4.3	9.35
NM_014336	9.36	9.42	2.58	3	9.3	3.63	3.31	8.67	0.08	8.58
NM_144585	1.98	4.65	3.83	1.66	6.79	5.93	6.44	5.2	5.91	4.81
NM_054021	6.71	9.42	5.41	8.65	6.53	1.07	5.06	5.79	4.09	2.15
NM_006851	5.64	6.6	8.19	0.93	8.42	2.97	1.78	9.51	7.44	2.19
NM_197977	9.33	1.42	0.14	7.72	7.4	2.37	5.36	9.18	5.43	4.07
NM_005841	8.49	3.87	7.75	8.07	4.53	1.68	7.65	9.92	2.81	5.44
NM_006435	7.4	8.26	2.15	2.76	3.44	8.44	9.13	7	6.16	1.9
XM_001133713	1.08	6.07	4.82	3.8	5.06	3.5	1.35	7.82	0.21	5.79
NM_001077528	8.73	8.81	0.87	4.02	4.59	8.83	3.99	8.34	8.38	1.11
XM_001134057	0.82	0.43	0.62	6.16	5.33	2.68	1.09	9.56	5.06	1.43
NM_001011516	7.2	3.15	3.12	0.13	3.61	4.6	9.72	0.73	4.87	2.68
NM_001011515	5.01	7.73	1.37	3.8	6.75	5.16	3.24	6.85	0.59	3.56
NM_001011513	0.22	3.35	9.33	3.28	0.67	9.29	2.14	2.75	4.89	3.94
NM_015908	0.25	4.7	8.39	7.03	6.78	0.61	3.48	3.5	0.11	9.22
NM_001008779	6.04	5.14	5.6	1.4	6.35	1.07	0.04	8.78	4.22	0.32
NM_019618	3.63	1.27	0.4	2.28	7.97	5.68	9.88	9.23	7.77	7.18
NM_080618	8.55	5.35	1.1	6.52	0.06	2.31	7.06	1.37	5.74	6.81
NM_004824	5.09	5.65	7.5	5.63	4.94	0.96	7.35	2.18	8.81	9.67
NM_015184	5.06	8.26	6.48	2.75	1.06	8.23	3.97	0.58	1.93	7.71
NM_198476	4.59	7.31	3.57	3.12	5.82	9.96	5.86	0.74	9.96	0.59
NM_001030001	6.98	5.31	4.87	2.4	3.72	3.29	1.78	4.16	2.79	7.96
NM_015429	8.78	6.21	7.82	9.95	7.79	1.41	4.66	9.75	3.54	5.74
NM_017944	9.7	9.51	3.9	1.58	5.13	2.39	1.52	7.88	5.73	0.92
XM_001133393	9.45	5.43	6.43	3.98	3.55	9.15	6.27	2.33	3.76	9.93
NM_002015	0.79	3.9	6.55	7.13	4.12	8.75	1.83	0.86	0.46	8.59
NM_016496	5.75	1.99	6.87	5.31	2.81	9.9	7.04	4.98	0.3	7.99
NM_001048226	9.66	1.9	4.09	2.44	4.14	4.21	6.79	1.66	7.91	5.65
NM_001048225	0.51	2.01	8.55	7.94	7.17	7.78	0.82	6.15	0.14	4.27
NM_001048224	0.7	9.3	1.68	9.58	0.99	7.38	1.67	1.13	2.41	1.54
NM_001048223	6.85	9.64	4.33	6.14	8.03	6.21	1.15	8.69	1.7	7.54
NM_001048222	8.02	0.6	7.45	0.56	5.06	0.01	4.03	3.27	4.44	3.62
NM_001048221	0.07	8.72	4.26	2.58	0.29	1	4.99	9.8	2.49	0.12
NM_203331	8.83	4.3	8.16	7.8	4.81	2.14	7.59	3.89	7.61	2.35
NM_203330	4.74	0.02	2.86	9.21	1.59	1.09	9.09	9.06	8.53	5.77
NM_203329	5.7	5.32	2.45	3.51	8.71	3.97	6.77	9.3	9.94	2.3
NM_004470	8.17	5.71	8.3	5.52	2.21	4.51	2.95	3.07	3.05	6.42
NM_004214	3.23	3.89	0.61	7.28	6.12	2.76	6.74	8.98	1.34	1.21
NM_005637	3.1	3.59	4.6	6.27	2.15	2.41	5.9	6.3	6.1	4.2
NM_001008896	9.25	1.78	3.12	9.31	7.27	8.01	4.3	0.89	3.26	2.22
NM_181555	1.96	2.7	1.49	1.3	0.71	1.59	0.73	7.33	9.72	2.32
NM_181554	3.92	4.02	5.22	2.44	7.48	5.09	6.99	5.86	1.16	5.63
NM_181553	6.45	4.93	6.24	9.44	0.88	2.6	4.02	1.62	8.13	4.9
NM_145000	6.97	0.42	2.86	5.1	7.46	6.75	3.97	4.18	0.31	5.89
NM_001005238	4.14	7.37	4.55	5.72	8.15	4.38	9.13	8.61	6.05	9.57
XM_001134046	6.7	9.63	4.62	6.47	7.67	3.22	7.49	5.13	8.24	4.12
NM_152386	3.01	5.56	8.45	6.5	3.81	7.82	4.01	2.96	4.53	6.2
NM_198539	7.78	8.63	4.95	8	6.12	0.06	9.01	7.84	3.82	6.75
NM_022166	5.24	4.97	5.72	2.99	7.72	5.53	4.55	6.49	3.98	0.93
NM_001004728	8.1	1.21	5.95	2.13	8.75	8.78	1.36	5.14	3.34	5.87
NM_001083335	2.84	6.89	1.44	0.76	7.18	8.29	2.98	8.42	5.75	4.46
NM_182700	9.84	2.29	9.29	6.11	3.55	5.49	0.41	7.24	3.94	1.51
NM_004761	5.07	6.52	0.82	4.53	2.47	2.07	3.14	9.3	6.13	3.84
NM_001042486	1.61	3.1	9.26	0.71	4.97	9.7	7.64	8.17	9.29	0.2
NM_005933	9.53	1.79	3.19	7.7	8.68	7.88	1.93	5.12	9.68	2.43
NM_145333	4.52	1.95	7.25	8.51	6.02	1.22	9.41	1.64	9.89	3.77
NM_145332	2.41	7	5.82	7.84	9.09	8.45	9.47	9.03	9.75	8.79
NM_145331	5.28	3.78	0.06	3.01	1.49	7.78	8.98	0.1	9.97	0.42
NM_001024947	4.19	3.85	1.34	0.95	0.16	5.42	6.2	3.29	7.8	9.42
NM_024969	2.92	9.01	4.37	5.78	6.26	6.23	0.29	5.18	9.9	3.07
NM_001005	5.98	3.08	1.74	2.58	2.48	5.16	0.65	1.23	2.39	1.95
NM_003705	1.04	3.49	5.67	7.09	8.19	1.63	7.35	1.98	9.5	6.96
