Gene Name	Common	Genbank	Description
215744	OTUB1	NM_017670.1	OTU domain, ubiquitin aldehyde binding 1
207913	NAG	NM_015909.2	neuroblastoma-amplified protein
199428	SMCHD1	AK025646.1	
166471	null	BC022928.1	
210030	null	M22878.1_CDS_1	
107682	SEC11L2	AX399071.1_CDS_1	
127121	OS9	NM_006812.1	amplified in osteosarcoma
198984	null		
220728	null	NM_003295.1	tumor protein, translationally-controlled 1
395793	MXRA7	NM_198530.1	
126331	C6orf111	NM_032870.1	chromosome 6 open reading frame 111
107338	TAF9	NM_016283.3	TAF9 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 32kDa
179446	BNIP2	NM_004330.1	BCL2/adenovirus E1B 19kDa interacting protein 2
189687	AHCY	NM_000687.1	S-adenosylhomocysteine hydrolase
210249	ANAPC5	NM_016237.3	anaphase promoting complex subunit 5
178936	FLJ14346	BC018206.1	hypothetical protein FLJ14346
131610	LOC402360	AL161628.9_CDS_1	
162644	RP11-378J18.4|LOC440751	AX775845.1	
103214	FAM91A2	NM_144963.1	hypothetical protein FLJ23790
226452	ZNF226	NM_015919.2	zinc finger protein 226
229541	null	AL138731.10_CDS_1	
102514	null		
156914	LOC158381	BC035229.1	
125210	HDLBP	NM_203346.1	high density lipoprotein binding protein (vigilin)
170017	null		
167701	CDK9	NM_001261.2	cyclin-dependent kinase 9 (CDC2-related kinase)
193606	MGC40397	NM_152318.1	hypothetical protein MGC40397
195167	TMEM49	NM_030938.2	likely ortholog of rat vacuole membrane protein 1
184076	GMPR2	NM_016576.2	guanosine monophosphate reductase 2
224647	DNAJC19	NM_201260.1	homolog of yeast TIM14
169068	C20orf155	NM_019095.3	chromosome 20 open reading frame 155
129431	LOC387907	NM_001011.2	ribosomal protein S7
228644	null		
204492	MAP4	NM_030983.1	microtubule-associated protein 4
705226	COX6A1	NM_004373.2	cytochrome c oxidase subunit VIa polypeptide 1
100845	C18orf8	NM_013326.2	chromosome 18 open reading frame 8
154456	ZCCHC2	NM_017742.3	zinc finger, CCHC domain containing 2
143121	DRAP1	NM_006442.2	DR1-associated protein 1 (negative cofactor 2 alpha)
142644	SAT	NM_002970.1	spermidine/spermine N1-acetyltransferase
108678	LOC344371		
125035	GLRX5	NM_016417.2	chromosome 14 open reading frame 87
112937	null	BC039555.2	
211838	WDR45	NM_007075.2	WD repeat domain, X-linked 1
155235	RBAF600	NM_020765.1	retinoblastoma-associated factor 600
186389	null		
212752	CAMK2G	NM_172173.1	calcium/calmodulin-dependent protein kinase (CaM kinase) II gamma
117637	HSPC176	NM_016209.1	unknown
171134	USP9X	NM_004652.2	ubiquitin specific protease 9, X-linked (fat facets-like, Drosophila)
198488	NRBP2	NM_178564.2	hypothetical protein LOC340371
124095	GLO1	NM_006708.1	glyoxalase I
296119	null		
216112	SNX3	NM_152827.1	sorting nexin 3
189707	null		
176774	LOC440733	NM_001018.2	ribosomal protein S15
182783	SDCBP	NM_005625.1	syndecan binding protein (syntenin)
121257	EIF3S10|RPL7	NM_000971.2	ribosomal protein L7
212953	ANP32C	NM_012403.1	acidic (leucine-rich) nuclear phosphoprotein 32 family, member C
163096	LARS	NM_020117.8	leucyl-tRNA synthetase
206569	SNRPC	NM_003093.1	small nuclear ribonucleoprotein polypeptide C
134553	null		
215957	UBE2V2	NM_003350.2	ubiquitin-conjugating enzyme E2 variant 2
192837	HIGD2A	NM_138820.1	hypothetical protein MGC2198
141272	ERRFI1		
119802	SLC22A7		
142746	null		
208158	NFE2L2	NM_006164.2	nuclear factor (erythroid-derived 2)-like 2
199887	null	BC070367.1	
217806	RPLP1	NM_001003.2	ribosomal protein, large, P1
142008	null		
155861	null		
167726	AHCTF1	NM_015446.1	ELYS transcription factor-like protein TMBS62
142959	SSBP3		
139692	LOC91137	NM_138773.1	hypothetical protein BC017169
158653	MATR3	NM_018834.3	matrin 3
163441	TPM2	NM_003289.3	tropomyosin 2 (beta)
236952	LOC441727		
141988	CREG1	AK075375.1	
229147	LOC390411	AL353580.7_CDS_3	
478137	null		
235600	null		
183150	OXA1L	NM_005015.1	oxidase (cytochrome c) assembly 1-like
100100	EXOSC10	NM_002685.1	exosome component 10
102483	CYCS	NM_018947.4	cytochrome c, somatic
162353	MRPL14	NM_032111.1	mitochondrial ribosomal protein L14
164566	SERTAD2	NM_014755.1	
200058	PABPN1	NM_004643.1	poly(A) binding protein, nuclear 1
137452	FLJ20699	NM_017931.1	hypothetical protein FLJ20699
155784	C1orf26		
130711	null		
171265	HMGN2	NM_005517.1	high-mobility group nucleosomal binding domain 2
164784	EEF1D	NM_001960.2	eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein)
179860	RG9MTD1	NM_017819.1	RNA (guanine-9-) methyltransferase domain containing 1
111987	DNAJB9	NM_012328.1	DnaJ (Hsp40) homolog, subfamily B, member 9
191565	FAM61A	NM_015578.1	chromosome 19 open reading frame 13
236036	null		
104377	MTA1	NM_004689.2	metastasis associated 1
140164	DKFZP564B147	NM_015582.1	DKFZP564B147 protein
144984	UBL5	NM_024292.2	ubiquitin-like 5
217279	RPL26	NM_000987.2	ribosomal protein L26;hypothetical protein LOC124751
231615	null		
166681	GPIAP1	NM_203364.1	membrane component, chromosome 11, surface marker 1
129646	BCLAF1	NM_014739.1	BCL2-associated transcription factor 1
133356	null		
185249	ERCC5	NM_000123.1	excision repair cross-complementing rodent repair deficiency, complementation group 5 (xeroderma pigmentosum, complementation group G (Cockayne syndrome))
173470	THUMPD2	NM_025264.2	THUMP domain containing 2
159790	C1orf27	BC003397.1	
226803	NIPSNAP3A	NM_015469.1	nipsnap homolog 3A (C. elegans)
159208	UTP11L	NM_016037.1	comparative gene identification transcript 94
161054	IQWD1	AL136738.1	
102249	null		
144182	CST3	NM_000099.2	cystatin C (amyloid angiopathy and cerebral hemorrhage)
150696	BRP44	AL035304.1	
160834	SFRS16	NM_007056.1	splicing factor, arginine/serine-rich 16 (suppressor-of-white-apricot homolog, Drosophila)
133710	CUL4A	NM_003589.1	cullin 4A
120930	GOLGA8A	NM_015003.3	golgin-67
223908	ARF3	NM_001659.1	ADP-ribosylation factor 3
202425	PSMC6	NM_002806.2	proteasome (prosome, macropain) 26S subunit, ATPase, 6
182143	WDR74	NM_018093.1	hypothetical protein FLJ10439
159723	LOC441165|FAM10A5|FAM10A4|ST13	NM_003932.3	family with sequence similarity 10, member A4;family with sequence similarity 10, member A5;suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)
227381	EEF1G	NM_001404.3	eukaryotic translation elongation factor 1 gamma
115921	BOLA1	NM_016074.1	CGI-143 protein
180596	MLXIPL	NM_032954.1	Williams Beuren syndrome chromosome region 14
202399	LOC389428		
105973	RPL27A	NM_000990.2	ribosomal protein L27a
175513	MED8	NM_001001651.1	mediator of RNA polymerase II transcription, subunit 8 homolog (yeast)
214481	C21orf6	NM_016940.1	chromosome 21 open reading frame 6
136269	C9orf32	NM_014064.1	AD-003 protein
163843	SMAP	NM_014267.3	small acidic protein
212298	ZNF9	NM_003418.1	zinc finger protein 9 (a cellular retroviral nucleic acid binding protein)
126461	APOA2	NM_001643.1	apolipoprotein A-II
206278	AAMP	NM_001087.1	angio-associated, migratory cell protein
121335	SLC25A13	NM_014251.1	solute carrier family 25, member 13 (citrin)
234894	SMCR8	NM_144775.1	Smith-Magenis syndrome chromosome region, candidate 8
230369	null		
205711	EIF3S10	NM_003750.1	eukaryotic translation initiation factor 3, subunit 10 theta, 150/170kDa
110576	RYBP	NM_012234.3	RING1 and YY1 binding protein
211562	FLJ21439	NM_025137.2	hypothetical protein FLJ21439
154973	SPTBN1	NM_003128.1	hypothetical protein DKFZp547I014;spectrin, beta, non-erythrocytic 1
165626	SNX2	NM_003100.2	sorting nexin 2
218005	G10	NM_003910.2	maternal G10 transcript
180431	LOC440037		
117132	TSC22D1	NM_006022.2	transforming growth factor beta 1 induced transcript 4
509092	LOC388565		
207124	RBM5	NM_005778.1	RNA binding motif protein 5
211174	UNC84B	NM_015374.1	unc-84 homolog B (C. elegans)
168024	PRKRA	NM_003690.3	protein kinase, interferon-inducible double stranded RNA dependent activator
125266	MUM1	NM_032853.2	melanoma associated antigen (mutated) 1
188719	LOC391540		
171339	ATXN7L2	NM_182580.1	hypothetical protein MGC46534;cytochrome b-561 domain containing 1
179087	null		
178067	FNDC3A	NM_014923.2	fibronectin type III domain containing 3
152873	BAT1	NM_004640.4	ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G isoform 2;HLA-B associated transcript 1
179419	null		
102125	DNTTIP1	NM_052951.2	deoxynucleotidyltransferase, terminal, interacting protein 1
215983	PRKRA	NM_003690.3	protein kinase, interferon-inducible double stranded RNA dependent activator
167003	SFRS2	NM_003016.2	splicing factor, arginine/serine-rich 2
117554	ACP2	NM_001610.1	acid phosphatase 2, lysosomal
229396	null		
207804	ZNF3	NM_017715.1	zinc finger protein 3 (A8-51)
132489	EPHX2	NM_001979.3	epoxide hydrolase 2, cytoplasmic
149319	LOC441805		
233804	null		
185088	STRN3	NM_014574.2	striatin, calmodulin binding protein 3
148420	HIST1H2BC	Z80783.1_CDS_1	histone 1, H2bc
135918	RBM25	AL833497.1	
157193	RAB10	NM_016131.2	RAB10, member RAS oncogene family
131125	HIBADH	NM_152740.2	3-hydroxyisobutyrate dehydrogenase
230460	null		
143154	null		
204948	HNRPA2B1	NM_031243.1	heterogeneous nuclear ribonucleoprotein A2/B1
184926	PWP1	NM_007062.1	nuclear phosphoprotein similar to S. cerevisiae PWP1
141922	HMGB1	NM_002128.3	high-mobility group box 1
211722	ZNF676	NM_001001411.1	similar to Zinc finger protein 208
135004	GPR27	NM_018971.1	G protein-coupled receptor 27
104245	PSMC5	NM_002805.4	proteasome (prosome, macropain) 26S subunit, ATPase, 5
153208	RPS9	NM_001013.2	ribosomal protein S9
229397	null		
113744	C22orf5	AL096879.1	chromosome 22 open reading frame 5
104569	TTC4	AK090964.1	tetratricopeptide repeat domain 4
235575	null		
194782	F8A1	NM_012151.2	coagulation factor VIII-associated (intronic transcript)
224842	SUMO2	NM_006937.2	SMT3 suppressor of mif two 3 homolog 2 (yeast)
110689	PSMD7	NM_002811.3	proteasome (prosome, macropain) 26S subunit, non-ATPase, 7 (Mov34 homolog)
157237	ELL2	NM_012081.3	elongation factor, RNA polymerase II, 2
155797	MGC88387	NM_001001683.1	similar to HSPC296
167549	LMBRD1	NM_018368.2	chromosome 6 open reading frame 209
156602	TBL1XR1	NM_024665.2	likely ortholog of mouse IRA1 protein
186922	RNF19	NM_015435.3	ring finger protein 19
236204	null	AB007161.1_CDS_1	
131693	E4F1	NM_004424.2	E4F transcription factor 1
106722	UBE4A	NM_006476.3	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit g;ubiquitination factor E4A (UFD2 homolog, yeast)
103481	TSR1	NM_018128.4	hypothetical protein FLJ10534
174855	LOC441837		
160035	POLR3GL	NM_032305.1	hypothetical protein MGC3200
142475	HADH2	NM_004493.1	hydroxyacyl-Coenzyme A dehydrogenase, type II
150591	OFOXD	NM_017758.2	hypothetical protein FLJ20308
186433	RFXANK	NM_134440.1	regulatory factor X-associated ankyrin-containing protein
192726	SKP1A	NM_006930.2	S-phase kinase-associated protein 1A (p19A)
113154	CHORDC1	NM_012124.1	cysteine and histidine-rich domain (CHORD)-containing, zinc binding protein 1
153960	PSMC2	NM_002803.2	proteasome (prosome, macropain) 26S subunit, ATPase, 2
137150	C14orf92	NM_014828.1	
148241	METTL5	NM_014168.1	HSPC133 protein
128869	TMEM23	NM_147156.3	transmembrane protein 23
155347	null		
175988	RPS2		
202630	null	AF090907.1	
236348	LOC441209|LOC442525		
213466	LOC286348		
201538	LOC51255	NM_016494.2	hypothetical protein LOC51255
150921	POLD2	NM_006230.1	polymerase (DNA directed), delta 2, regulatory subunit 50kDa
143439	PUS3	NM_031307.2	hypothetical protein FKSG32
235197	STOM		
176083	SERINC2	NM_178865.2	tumor differentially expressed 2-like
105959	BZRP	NM_007311.2	benzodiazapine receptor (peripheral)
230435	null		
124239	OPA1	BC058013.1	optic atrophy 1 (autosomal dominant)
205393	MBD4	NM_003925.1	methyl-CpG binding domain protein 4
157520	MAN2C1	NM_006715.2	mannosidase, alpha, class 2C, member 1
174805	NDUFA12	NM_018838.3	13kDa differentiation-associated protein
100969	C16orf49	NM_002694.2	hypothetical protein DKFZp434K046;polymerase (RNA) II (DNA directed) polypeptide C, 33kDa
133993	LOC346521|LOC402709		
701229	COX2	NM_005077.3	transducin-like enhancer of split 1 (E(sp1) homolog, Drosophila)
187916	SMAD4	NM_005359.3	SMAD, mothers against DPP homolog 4 (Drosophila)
126241	ADIPOR1	BC001594.2	
118713	HSD17B4	NM_000414.1	hydroxysteroid (17-beta) dehydrogenase 4
388974	null	AK091626.1	
181009	RPL7A	NM_000972.2	ribosomal protein L7a
144335	ZNF593	NM_015871.2	zinc finger protein 593
109438	null		
228769	null		
230167	null		
123636	COX7B	NM_001866.2	cytochrome c oxidase subunit VIIb
129596	AP3B1	NM_003664.3	adaptor-related protein complex 3, beta 1 subunit
176440	OGFR	NM_007346.2	opioid growth factor receptor
116407	HNRPK	NM_031263.1	heterogeneous nuclear ribonucleoprotein K
166583	null		
199369	HIST1H4C	NM_003542.3	histone 1, H4c
189057	LOC341511		
200631	LOC390007		
213843	S100A10	NM_002966.1	S100 calcium binding protein A10 (annexin II ligand, calpactin I, light polypeptide (p11))
128019	null		
134952	RPS10P3		
212389	MBTPS1	NM_003791.2	membrane-bound transcription factor protease, site 1
232964	null		
102563	ZCCHC9	NM_032280.1	zinc finger, CCHC domain containing 9
186670	PFN1	NM_005022.2	profilin 1
124489	HNRPF	NM_004966.2	heterogeneous nuclear ribonucleoprotein F
126759	TFPI	NM_006287.3	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)
203546	null	NM_000992.2	ribosomal protein L29
182833	SERBP1	NM_015640.1	PAI-1 mRNA-binding protein
160215	LOC390606		
111844	HIST1H2AK	NM_003510.2	histone 1, H2ak
155479	RTN3	NM_006054.2	reticulon 3
187463	RAB7	NM_004637.5	RAB7, member RAS oncogene family
117568	SNF8	NM_007241.2	EAP30 subunit of ELL complex
312026	null	AK093006.1	
189404	DCTN1	NM_004082.2	dynactin 1 (p150, glued homolog, Drosophila)
143486	null		
116867	MTCBP-1	NM_018269.1	SIPL protein
546701	null	AK027027.1	
181007	SERF2	NM_005770.3	small EDRK-rich factor 2;Huntingtin interacting protein K
141761	SQRDL	NM_012388.2	pallidin homolog (mouse);sulfide quinone reductase-like (yeast)
185312	NUAK1	NM_014840.2	AMP-activated protein kinase family member 5
174233	UXT	NM_004182.2	ubiquitously-expressed transcript
221810	C3orf10	NM_018462.3	chromosome 3 open reading frame 10
174242	FLJ20487	NM_017841.1	IIIG9 protein;hypothetical protein FLJ20487
161857	PIGC	D85418.1	
115673	NDUFA2	NM_002488.2	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 2, 8kDa
184373	PDIA4	NM_004911.3	protein disulfide isomerase related protein (calcium-binding protein, intestinal-related)
125725	C5orf15	NM_020199.1	chromosome 5 open reading frame 15
197470	HIST1H3J	NM_003535.2	histone 1, H3j
135002	LOC440172	NM_005517.1	high-mobility group nucleosomal binding domain 2
215317	AK2	NM_172199.1	adenylate kinase 2
221057	LOC497661	NM_000985.2	ribosomal protein L17
101844	CDC14B		
144148	PDCD4	NM_014456.3	programmed cell death 4 (neoplastic transformation inhibitor)
121991	null		
114593	LOC388817|PPIA	NM_203431.1	peptidylprolyl isomerase A (cyclophilin A)
118278	FBXO44	NM_183412.1	F-box protein 44
235671	null		
416454	TPSAB1|TPSB2	AX347838.1_CDS_1	
139964	PRNPIP	BC004456.1	
178569	GNG5	NM_005274.1	guanine nucleotide binding protein (G protein), gamma 5
207792	DLC1	NM_006094.3	deleted in liver cancer 1
182667	null		
181810	null		
212207	KIAA1715	NM_030650.1	KIAA1715
101611	ATPBD1C	NM_016301.2	protein x 0004
122759	LOC389901|XRCC6	NM_001469.2	thyroid autoantigen 70kDa (Ku antigen)
211285	null		
193902	ZDHHC3	NM_016598.1	hypothetical protein FLJ20209;zinc finger, DHHC domain containing 3
107402	DAP3	NM_033657.1	death associated protein 3
115485	FAHD2A	NM_016044.1	CGI-105 protein
225735	TPM1	NM_000366.4	tropomyosin 1 (alpha)
236780	null		
151395	LOC220906	BC036861.1	ribosomal protein L7-like 1
193946	null		
100894	null		
232706	MGC23909	BX647979.1	
229934	LOC120318		
204707	HDAC6	NM_006044.2	histone deacetylase 6
226307	C8orf36	NM_173685.1	hypothetical protein FLJ32440
123455	C5orf18	NM_005669.3	polyposis locus protein 1
183321	PHF3	NM_015153.1	PHD finger protein 3
128588	PARP9	NM_031458.1	B aggressive lymphoma gene
147548	LOC388817|PPIA	NM_203431.1	peptidylprolyl isomerase A (cyclophilin A)
203399	null		
217758	GRB2	NM_203506.1	growth factor receptor-bound protein 2
198911	YTHDF1	NM_017798.2	YTH domain family 1
175421	null		
205041	RANBP9	NM_005493.2	RAN binding protein 9
158620	HNRPDL	NM_031372.1	heterogeneous nuclear ribonucleoprotein D-like
196081	COX8A	NM_175609.1	ADP-ribosylation factor GTPase activating protein 1
157517	CTDSP1	NM_021198.1	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 1
169639	DCTN6	NM_006571.2	dynactin 6
234280	LOC375295		
191714	DKFZp586C1924	NM_032273.2	hypothetical protein DKFZp586C1924
150768	NUP133	NM_018230.2	nucleoporin 133kDa
215830	TMEM30A	NM_018247.1	transmembrane protein 30A
168208	MAP4K3	NM_003618.2	mitogen-activated protein kinase kinase kinase kinase 3
231482	null	D50604.1_CDS_1	
161646	C14orf119	NM_017924.2	chromosome 14 open reading frame 119
131726	null		
148154	null		
106768	RPL31P8		
173570	APCS		
200851	CS	NM_004077.2	citrate synthase
157518	COX5A	NM_004255.2	cytochrome c oxidase subunit Va
151514	SYVN1	NM_172230.1	HRD1 protein
131265	HSPE1	NM_002157.1	heat shock 10kDa protein 1 (chaperonin 10)
176593	GRWD1	BC002440.2	glutamate-rich WD repeat containing 1
190980	NR1H2	NM_007121.1	nuclear receptor subfamily 1, group H, member 2
477963	null	X15675.1	
197895	LOC138864		
118887	null		
236749	LOC391827		
144606	LOC401895		
134434	C8orf59	AK000414.1	
695109	LOC346355		
235868	GAPDH	NM_002046.2	glyceraldehyde-3-phosphate dehydrogenase
134168	RPS14	NM_005617.2	ribosomal protein S14
231372	ZA20D2|LOC388545	NM_006007.1	zinc finger protein 216
102257	HNRPC	NM_031314.1	heterogeneous nuclear ribonucleoprotein C (C1/C2)
167621	ZNF281	BC060820.1	
181246	PRCP	NM_005040.2	prolylcarboxypeptidase (angiotensinase C)
136860	TCEAL2	NM_080390.2	my048 protein
218635	MORF4L1	NM_206839.1	mortality factor 4;mortality factor 4 like 1
644075	null		
205347	null		
205420	MGC10993	NM_030577.1	hypothetical protein MGC10993
224406	COX11	NM_004375.2	COX11 homolog, cytochrome c oxidase assembly protein (yeast)
114441	null		
234689	null		
219784	ZNF595	NM_182524.1	zinc finger protein 595
154632	FLJ22222	NM_024648.1	hypothetical protein FLJ22222
144771	C1orf37	BC038952.2	
193395	TMEM111	NM_018447.1	30 kDa protein
190674	EIF3S8	NM_003752.2	eukaryotic translation initiation factor 3, subunit 8, 110kDa
217057	C2orf24	NM_015680.3	chromosome 2 open reading frame 24
122149	BAG3	NM_004281.2	BCL2-associated athanogene 3
181167	RIC8A	NM_021932.4	likely ortholog of mouse synembryn
123795	null		
186770	null		
188831	CMPK	NM_020191.2	mitochondrial ribosomal protein S22
139466	APRT	NM_000485.1	adenine phosphoribosyltransferase
167786	null		
217518	TMEM103	NM_017713.1	hypothetical protein FLJ20211
165565	LOC442515		
186321	null	U03712.1_CDS_1	
122554	HIST1H2AJ	NM_021066.2	histone 1, H2aj
215967	DEK	NM_003472.2	DEK oncogene (DNA binding)
109841	SDFR1	NM_017455.1	stromal cell derived factor receptor 1
117835	null		
140226	VASP	NM_003370.1	vasodilator-stimulated phosphoprotein
135904	MTCP1	NM_014221.1	mature T-cell proliferation 1
115103	PUM2	NM_015317.1	pumilio homolog 2 (Drosophila)
236727	null		
206072	RP3-402G11.5	NM_031454.1	selenoprotein O
237093	null	BC013641.1	
101979	CRYZ	NM_001889.2	crystallin, zeta (quinone reductase)
121126	HIST1H4L	NM_003546.2	histone 1, H4l
120597	YARS	NM_003680.2	tyrosyl-tRNA synthetase
177566	RAB5A	NM_004162.3	RAB5A, member RAS oncogene family
186955	SDF2	NM_006923.2	stromal cell-derived factor 2
139052	VAPA	NM_194434.1	VAMP (vesicle-associated membrane protein)-associated protein A, 33kDa
208270	LOC401019	NM_001018.2	ribosomal protein S15
167559	IRF2	NM_002199.2	interferon regulatory factor 2
203208	EIF3S12	NM_013234.1	eukaryotic translation initiation factor 3 subunit k
170463	LOC347544		
229341	null		
489842	EIF4B	NM_018507.1	
142520	null		
189406	MGAT1	NM_002406.2	mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase
236507	null		
200578	HNF4A	NM_000998.2	ribosomal protein L37a
175397	LOC402562|LOC285984	NM_031157.1	heterogeneous nuclear ribonucleoprotein A1
100454	PAK1IP1	NM_017906.1	PAK1 interacting protein 1
187206	null		
195645	null		
178227	null		
131936	VPS25	NM_032353.2	hypothetical protein MGC10540
609850	SH3KBP1|SMC5L1	NM_015110.1	SMC5 structural maintenance of chromosomes 5-like 1 (yeast)
133238	null	NM_001208.1	basic transcription factor 3, like 1
236866	null		
168091	ORMDL3	NM_139280.1	ORM1-like 3 (S. cerevisiae)
113260	null		
112971	null		
234761	LOC390729		
206825	NDUFC1	NM_002494.2	NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 1, 6kDa
175564	ARCN1	NM_001655.3	archain 1
200705	null		
110634	null		
189484	LOC392347		
10690941	EIF4E	NM_001968.1	eukaryotic translation initiation factor 4E
159383	null		
218686	ATPAF1	NM_022745.2	ATP synthase mitochondrial F1 complex assembly factor 1
157602	COMMD9	NM_014186.1	COMM domain containing 9
200193	NDUFA8	NM_014222.2	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 8, 19kDa
129812	DARS	NM_001349.2	aspartyl-tRNA synthetase
236688	LOC390944		
141341	STK4	NM_006282.2	serine/threonine kinase 4
205685	COPB2	NM_004766.1	coatomer protein complex, subunit beta 2 (beta prime)
236864	null		
225337	ZCCHC9	NM_032280.1	zinc finger, CCHC domain containing 9
181504	MAGEF1	NM_022149.3	melanoma antigen, family F, 1
120001	NASP	NM_002482.2	nuclear autoantigenic sperm protein (histone-binding)
204266	RPSA	NM_002295.2	laminin receptor 1 (ribosomal protein SA, 67kDa)
109173	null	AL354915.5_CDS_2	
183645	ACTC	NM_005159.3	actin, alpha, cardiac muscle
211931	HIP2	NM_005339.3	huntingtin interacting protein 2
151549	CCT5	NM_012073.2	chaperonin containing TCP1, subunit 5 (epsilon)
214094	RPL23A	NM_000984.3	ribosomal protein L23a
144133	null		
150705	PRDM10	NM_020228.2	PR domain containing 10
171172	GNAQ	NM_002072.2	guanine nucleotide binding protein (G protein), q polypeptide
225790	GAMT	NM_138924.1	guanidinoacetate N-methyltransferase
154578	C20orf52	NM_080748.1	chromosome 20 open reading frame 52
181218	CDC42SE1	NM_020239.2	small protein effector 1 of Cdc42
153663	FBXO9	NM_033481.1	F-box protein 9
138479	ABI1	NM_005470.1	abl-interactor 1
178052	LOC442175	AL133267.9_CDS_3	
151474	null	U82486.1_CDS_1	
204385	TNRC15	NM_015575.2	trinucleotide repeat containing 15
145718	null		
184699	FH	NM_000143.2	fumarate hydratase
236487	null		
230936	FLJ44635	NM_207422.1	FLJ44635 protein
155996	null		
138137	HPCL2	NM_012260.1	2-hydroxyphytanoyl-CoA lyase
183769	null		
176065	null		
130995	PHKB	NM_000293.1	phosphorylase kinase, beta
179796	TXN2	NM_012473.3	thioredoxin 2
207800	HRB	NM_004504.3	HIV-1 Rev binding protein
RT_Kit_Control_LYS_4_Cp			
106604	PROS1	NM_000313.1	protein S (alpha)
549340	null		
109887	SIAHBP1	NM_014281.3	fuse-binding protein-interacting repressor
199513	CLTC	NM_004859.2	clathrin, heavy polypeptide (Hc)
233478	null	AL137843.4_CDS_1	
111685	KPNA4	NM_002268.3	karyopherin alpha 4 (importin alpha 3)
170338	LOC145414		
211129	PCNA	NM_182649.1	proliferating cell nuclear antigen
124409	SLC35B2	NM_178148.1	solute carrier family 35, member B2
236496	null		
236627	PCCA	NM_002948.2	ribosomal protein L15
198356	ECHDC3	NM_024693.2	enoyl Coenzyme A hydratase domain containing 3
213465	YWHAZ	NM_145690.1	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide
167412	SR140	BC006474.1	
