ACCESSION	TargetID	SYMBOL	Ratio G-6h / Sh 6h	Log2 Ratio G-6h / Sh 6h	Ratio G+6h / Sh6h	Log2 Ratio G+6h / Sh6h	Ratio G-24h / Sh24h	Log2 Ratio G-24h / Sh24h	Ratio G+24h / Sh24h	Log2 G+24h / Sh24h	DEFINITION
NM_001012960.1	ILMN_10202	C1orf84	NaN	NaN	NaN	NaN	0.92	-0.12	0.73	-0.45	Homo sapiens chromosome 1 open reading frame 84 (C1orf84), transcript variant 1, mRNA.
NM_024041.2	ILMN_10204	SCNM1	1.40	0.48	1.15	0.20	1.15	0.20	1.12	0.17	Homo sapiens sodium channel modifier 1 (SCNM1), transcript variant 1, mRNA.
NM_001697.2	ILMN_10205	ATP5O	0.79	-0.34	0.86	-0.21	1.30	0.38	1.34	0.42	Homo sapiens ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (oligomycin sensitivity conferring protein) (ATP5O), nuclear gene encoding mitochondrial protein, mRNA.
NM_002107.3	ILMN_10207	H3F3A	0.97	-0.05	1.04	0.06	1.13	0.18	1.13	0.18	Homo sapiens H3 histone, family 3A (H3F3A), mRNA.
NM_030666.2	ILMN_10210	SERPINB1	NaN	NaN	NaN	NaN	2.31	1.21	4.02	2.01	Homo sapiens serpin peptidase inhibitor, clade B (ovalbumin), member 1 (SERPINB1), mRNA.
NM_001031726.1	ILMN_10211	C19orf12	1.64	0.72	1.28	0.36	0.81	-0.30	1.03	0.04	Homo sapiens chromosome 19 open reading frame 12 (C19orf12), transcript variant 1, mRNA.
NM_016213.3	ILMN_10213	TRIP4	0.99	-0.02	0.81	-0.30	1.11	0.15	1.15	0.20	Homo sapiens thyroid hormone receptor interactor 4 (TRIP4), mRNA.
BC015367	ILMN_102192		1.51	0.60	1.03	0.04	1.49	0.57	1.52	0.61	Homo sapiens, clone IMAGE:3905596, mRNA
NM_173514.1	ILMN_10221	FLJ90709	0.43	-1.20	0.56	-0.83	1.02	0.03	0.86	-0.22	Homo sapiens hypothetical protein FLJ90709 (FLJ90709), mRNA.
NM_012449.2	ILMN_10229	STEAP1	5.93	2.57	4.05	2.02	0.32	-1.66	0.35	-1.51	Homo sapiens six transmembrane epithelial antigen of the prostate 1 (STEAP1), mRNA.
NM_032270.2	ILMN_1023	LRRC8C	NaN	NaN	1.93	0.95	NaN	NaN	NaN	NaN	Homo sapiens leucine rich repeat containing 8 family, member C (LRRC8C), mRNA.
NM_004833.1	ILMN_10231	AIM2	1.20	0.26	2.40	1.26	NaN	NaN	NaN	NaN	Homo sapiens absent in melanoma 2 (AIM2), mRNA.
NM_014824.1	ILMN_10232	FCHSD2	2.15	1.10	1.52	0.60	0.96	-0.06	0.92	-0.13	Homo sapiens FCH and double SH3 domains 2 (FCHSD2), mRNA.
NM_033423.2	ILMN_10239	GZMH	2.07	1.05	3.21	1.68	1.39	0.47	2.13	1.09	Homo sapiens granzyme H (cathepsin G-like 2, protein h-CCPX) (GZMH), mRNA.
NM_014330.2	ILMN_1024	PPP1R15A	7.27	2.86	3.22	1.69	3.34	1.74	4.29	2.10	Homo sapiens protein phosphatase 1, regulatory (inhibitor) subunit 15A (PPP1R15A), mRNA.
NM_006575.3	ILMN_10246	MAP4K5	0.90	-0.15	0.60	-0.74	0.99	-0.02	1.09	0.13	Homo sapiens mitogen-activated protein kinase kinase kinase kinase 5 (MAP4K5), transcript variant 1, mRNA.
NM_021975.2	ILMN_10254	RELA	6.10	2.61	4.13	2.05	1.56	0.64	1.41	0.49	Homo sapiens v-rel reticuloendotheliosis viral oncogene homolog A, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3, p65 (avian) (RELA), mRNA.
NM_004489.4	ILMN_10256	GPS2	0.93	-0.11	0.87	-0.21	1.13	0.17	1.00	0.00	Homo sapiens G protein pathway suppressor 2 (GPS2), mRNA.
NM_006804.2	ILMN_10258	STARD3	0.72	-0.47	0.68	-0.57	1.15	0.20	1.15	0.20	Homo sapiens START domain containing 3 (STARD3), mRNA.
CD557202	ILMN_102695		1.42	0.51	1.31	0.39	0.98	-0.03	0.93	-0.10	AGENCOURT_14413614 NIH_MGC_180 Homo sapiens cDNA clone IMAGE:30387341 5, mRNA sequence
NM_005219.2	ILMN_1027	DIAPH1	0.99	-0.02	0.96	-0.06	1.60	0.68	1.71	0.77	Homo sapiens diaphanous homolog 1 (Drosophila) (DIAPH1), mRNA.
NM_005858.2	ILMN_10271	AKAP8	0.78	-0.37	1.19	0.25	0.59	-0.76	0.55	-0.87	Homo sapiens A kinase (PRKA) anchor protein 8 (AKAP8), mRNA.
AK026373	ILMN_102737		1.26	0.34	1.05	0.07	1.05	0.07	1.12	0.17	Homo sapiens cDNA: FLJ22720 fis, clone HSI14320
BG828373	ILMN_102745		1.47	0.56	1.44	0.52	1.08	0.11	1.01	0.02	602751516F1 NIH_MGC_17 Homo sapiens cDNA clone IMAGE:4904306 5, mRNA sequence
NM_005015.1	ILMN_10280	OXA1L	0.96	-0.06	1.11	0.15	1.13	0.18	1.04	0.05	Homo sapiens oxidase (cytochrome c) assembly 1-like (OXA1L), mRNA.
NM_000983.3	ILMN_10289	RPL22	1.01	0.01	0.85	-0.23	1.14	0.19	0.96	-0.06	Homo sapiens ribosomal protein L22 (RPL22), mRNA.
AI123752	ILMN_102891		1.64	0.71	1.32	0.40	1.00	0.00	0.92	-0.12	oo21c11.x1 Soares_NSF_F8_9W_OT_PA_P_S1 Homo sapiens cDNA clone IMAGE:1566836 3, mRNA sequence
NM_016495.2	ILMN_10292	TBC1D7	0.88	-0.18	0.63	-0.68	0.98	-0.02	0.85	-0.23	Homo sapiens TBC1 domain family, member 7 (TBC1D7), mRNA.
NM_021143.1	ILMN_10297	ZNF20	NaN	NaN	NaN	NaN	NaN	NaN	0.93	-0.11	Homo sapiens zinc finger protein 20 (KOX 13) (ZNF20), mRNA.
BI521196	ILMN_103033		1.46	0.55	1.43	0.52	1.05	0.07	1.01	0.02	603081727F1 NIH_MGC_120 Homo sapiens cDNA clone IMAGE:5220871 5, mRNA sequence
NM_001382.2	ILMN_10306	DPAGT1	0.82	-0.28	1.21	0.28	0.86	-0.21	0.45	-1.15	Homo sapiens dolichyl-phosphate (UDP-N-acetylglucosamine) N-acetylglucosaminephosphotransferase 1 (GlcNAc-1-P transferase) (DPAGT1), transcript variant 1, mRNA.
NM_018453.2	ILMN_1031	C14orf11	0.80	-0.33	0.85	-0.23	0.99	-0.01	0.65	-0.63	Homo sapiens chromosome 14 open reading frame 11 (C14orf11), mRNA.
BC040653	ILMN_103172		0.71	-0.50	0.65	-0.62	0.54	-0.89	0.58	-0.79	Homo sapiens cDNA clone IMAGE:4797120
NM_057164.2	ILMN_1032	COL6A3	0.50	-0.99	0.49	-1.04	2.46	1.30	3.23	1.69	Homo sapiens collagen, type VI, alpha 3 (COL6A3), transcript variant 2, mRNA.
NM_173647.2	ILMN_10320	RNF149	1.82	0.86	1.61	0.69	1.30	0.38	1.54	0.62	Homo sapiens ring finger protein 149 (RNF149), mRNA.
DB338803	ILMN_103222		1.68	0.75	1.37	0.46	1.04	0.05	1.01	0.01	DB338803 TESTI2 Homo sapiens cDNA clone TESTI2045139 3, mRNA sequence
NM_198467.1	ILMN_10323	RSBN1L	NaN	NaN	NaN	NaN	0.95	-0.08	0.91	-0.14	Homo sapiens round spermatid basic protein 1-like (RSBN1L), mRNA.
NM_030790.2	ILMN_10328	CDA08	0.56	-0.84	0.67	-0.58	0.74	-0.44	0.71	-0.49	Homo sapiens T-cell immunomodulatory protein (CDA08), mRNA.
NM_001012961.1	ILMN_10338	C1orf84	NaN	NaN	NaN	NaN	0.78	-0.36	0.77	-0.37	Homo sapiens chromosome 1 open reading frame 84 (C1orf84), transcript variant 2, mRNA.
NM_030877.3	ILMN_10345	CTNNBL1	1.24	0.32	1.40	0.48	1.14	0.19	1.10	0.14	Homo sapiens catenin, beta like 1 (CTNNBL1), mRNA.
NM_022070.3	ILMN_10346	ABC1	NaN	NaN	NaN	NaN	0.96	-0.06	0.63	-0.67	Homo sapiens amplified in breast cancer 1 (ABC1), mRNA.
AW444622	ILMN_103461		1.42	0.51	NaN	NaN	NaN	NaN	1.03	0.05	UI-H-BI3-ajw-b-01-0-UI.s1 NCI_CGAP_Sub5 Homo sapiens cDNA clone IMAGE:2733240 3, mRNA sequence
NM_001014283.1	ILMN_10355	DCUN1D2	0.92	-0.12	0.84	-0.25	0.91	-0.14	1.11	0.15	Homo sapiens DCN1, defective in cullin neddylation 1, domain containing 2 (S. cerevisiae) (DCUN1D2), transcript variant 2, mRNA.
NM_015658.1	ILMN_10357	NOC2L	1.27	0.35	1.54	0.63	0.86	-0.22	0.81	-0.30	Homo sapiens nucleolar complex associated 2 homolog (S. cerevisiae) (NOC2L), mRNA.
NM_016937.1	ILMN_10362	POLA	1.93	0.95	1.42	0.50	0.99	-0.01	1.03	0.05	Homo sapiens polymerase (DNA directed), alpha (POLA), mRNA.
NM_131917.1	ILMN_10367	FAF1	0.86	-0.21	0.89	-0.16	1.00	-0.01	1.03	0.05	Homo sapiens Fas (TNFRSF6) associated factor 1 (FAF1), transcript variant 2, mRNA.
AA568751	ILMN_103674		3.25	1.70	2.59	1.38	1.39	0.48	2.32	1.21	nm26f03.s1 NCI_CGAP_Lip2 Homo sapiens cDNA clone IMAGE:1061309, mRNA sequence
AA825273	ILMN_103696		1.54	0.62	1.44	0.53	0.80	-0.32	1.11	0.15	oc67a02.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:1354730 3, mRNA sequence
NM_001025100.1	ILMN_10370	MBP	0.32	-1.65	0.28	-1.85	1.15	0.20	1.18	0.23	Homo sapiens myelin basic protein (MBP), transcript variant 8, mRNA.
NM_201397.1	ILMN_10376	GPX1	0.84	-0.26	0.94	-0.09	0.82	-0.28	0.87	-0.20	Homo sapiens glutathione peroxidase 1 (GPX1), transcript variant 2, mRNA.
NR_001561.1	ILMN_10377	CYCSL1	1.22	0.29	0.96	-0.06	1.81	0.86	1.84	0.88	Homo sapiens cytochrome c, somatic-like 1 (CYCSL1) on chromosome 6.
BC035081	ILMN_103797		2.62	1.39	3.43	1.78	0.99	-0.02	1.68	0.75	Homo sapiens cDNA clone IMAGE:5260685
CA433032	ILMN_103851		1.57	0.65	1.28	0.36	1.12	0.16	1.14	0.19	UI-H-CO0-arb-e-03-0-UI.s1 NCI_CGAP_Sub9 Homo sapiens cDNA clone UI-H-CO0-arb-e-03-0-UI 3, mRNA sequence
NM_002940.1	ILMN_10386	ABCE1	1.26	0.33	0.90	-0.15	0.76	-0.40	0.79	-0.34	Homo sapiens ATP-binding cassette, sub-family E (OABP), member 1 (ABCE1), mRNA.
NM_021705.2	ILMN_10390	NFYA	1.97	0.98	1.61	0.69	0.96	-0.06	1.23	0.30	Homo sapiens nuclear transcription factor Y, alpha (NFYA), transcript variant 2, mRNA.
NM_016009.2	ILMN_10394	SH3GLB1	1.03	0.04	1.25	0.32	1.52	0.60	1.67	0.74	Homo sapiens SH3-domain GRB2-like endophilin B1 (SH3GLB1), mRNA.
BE440114	ILMN_103968		1.31	0.39	1.37	0.46	0.99	-0.01	0.87	-0.19	HTM1-916F HTM1 Homo sapiens cDNA, mRNA sequence
AI699581	ILMN_103974		1.03	0.04	0.98	-0.02	0.89	-0.17	0.84	-0.25	tt17f06.x1 NCI_CGAP_GC6 Homo sapiens cDNA clone IMAGE:2241059 3, mRNA sequence
CA438159	ILMN_104040		1.79	0.84	1.28	0.35	1.21	0.27	1.19	0.25	UI-H-DI0-auw-a-16-0-UI.s1 NCI_CGAP_DI0 Homo sapiens cDNA clone UI-H-DI0-auw-a-16-0-UI 3, mRNA sequence
NM_014884.1	ILMN_10407	SFRS14	0.68	-0.55	0.73	-0.46	0.97	-0.04	1.02	0.03	Homo sapiens splicing factor, arginine/serine-rich 14 (SFRS14), transcript variant 2, mRNA.
NM_020351.2	ILMN_10408	COL8A1	0.66	-0.59	0.75	-0.42	1.57	0.65	1.26	0.34	Homo sapiens collagen, type VIII, alpha 1 (COL8A1), transcript variant 2, mRNA.
NM_152600.1	ILMN_10410	ZNF579	NaN	NaN	NaN	NaN	0.62	-0.68	0.63	-0.67	Homo sapiens zinc finger protein 579 (ZNF579), mRNA.
NM_020824.2	ILMN_10414	ARHGAP21	0.85	-0.24	0.81	-0.31	0.73	-0.45	0.83	-0.28	Homo sapiens Rho GTPase activating protein 21 (ARHGAP21), mRNA.
NM_022160.1	ILMN_10416	DMRTA1	0.33	-1.60	0.33	-1.60	0.98	-0.03	0.62	-0.68	Homo sapiens DMRT-like family A1 (DMRTA1), mRNA.
NM_005760.2	ILMN_10421	CEBPZ	1.13	0.18	1.06	0.08	1.06	0.09	1.32	0.40	Homo sapiens CCAAT/enhancer binding protein zeta (CEBPZ), mRNA.
NM_018366.2	ILMN_10423	CNO	1.11	0.15	1.09	0.12	0.89	-0.17	0.89	-0.17	Homo sapiens cappuccino homolog (mouse) (CNO), mRNA.
NM_183359.1	ILMN_10431	BRD8	1.07	0.09	1.02	0.03	0.85	-0.24	0.55	-0.87	Homo sapiens bromodomain containing 8 (BRD8), transcript variant 3, mRNA.
NM_017907.1	ILMN_10434	FLJ20625	0.62	-0.70	0.75	-0.42	0.96	-0.06	0.91	-0.14	Homo sapiens hypothetical protein FLJ20625 (FLJ20625), mRNA.
AI859710	ILMN_104343		1.06	0.08	1.08	0.11	1.02	0.02	NaN	NaN	wm19e03.x1 NCI_CGAP_Ut4 Homo sapiens cDNA clone IMAGE:2436412 3, mRNA sequence
AW183701	ILMN_104385		1.68	0.75	1.41	0.50	1.16	0.22	1.19	0.25	xj86g10.x1 Soares_NFL_T_GBC_S1 Homo sapiens cDNA clone IMAGE:2664162 3, mRNA sequence
NM_003992.1	ILMN_1044	CLK3	1.26	0.33	1.09	0.12	1.13	0.17	1.35	0.43	Homo sapiens CDC-like kinase 3 (CLK3), transcript variant phclk3, mRNA.
BE439917	ILMN_104437		1.56	0.64	1.32	0.41	1.05	0.07	1.04	0.05	HTM1-532F HTM1 Homo sapiens cDNA, mRNA sequence
NM_015062.3	ILMN_10445	PPRC1	1.73	0.79	1.95	0.96	0.69	-0.54	0.82	-0.29	Homo sapiens peroxisome proliferative activated receptor, gamma, coactivator-related 1 (PPRC1), mRNA.
AI371376	ILMN_104473		1.50	0.58	1.31	0.39	1.02	0.03	1.05	0.07	qo83f11.x1 NCI_CGAP_Kid5 Homo sapiens cDNA clone IMAGE:1915149 3, mRNA sequence
NM_016463.5	ILMN_10449	CXXC5	0.65	-0.61	0.72	-0.47	1.10	0.14	1.28	0.36	Homo sapiens CXXC finger 5 (CXXC5), mRNA.
AA668162	ILMN_104574		1.93	0.95	1.38	0.47	1.09	0.12	1.15	0.20	ab74h05.s1 Stratagene fetal retina 937202 Homo sapiens cDNA clone IMAGE:852729 3 similar to contains element L1 repetitive element ;, mRNA sequence
NM_021826.4	ILMN_10466	FLJ13149	1.48	0.56	1.54	0.63	1.39	0.48	1.32	0.40	Homo sapiens hypothetical protein FLJ13149 (FLJ13149), mRNA.
NM_005724.4	ILMN_10474	TSPAN3	1.40	0.49	1.00	0.00	1.41	0.49	1.13	0.18	Homo sapiens tetraspanin 3 (TSPAN3), transcript variant 1, mRNA.
NM_000852.2	ILMN_10475	GSTP1	0.97	-0.05	1.14	0.19	2.07	1.05	1.95	0.97	Homo sapiens glutathione S-transferase pi (GSTP1), mRNA.
NM_005186.2	ILMN_10477	CAPN1	0.42	-1.24	0.59	-0.77	1.26	0.33	1.26	0.33	Homo sapiens calpain 1, (mu/I) large subunit (CAPN1), mRNA.
NM_004225.1	ILMN_10482	MFHAS1	1.78	0.84	1.76	0.81	0.98	-0.02	1.10	0.14	Homo sapiens malignant fibrous histiocytoma amplified sequence 1 (MFHAS1), mRNA.
AA694065	ILMN_104916		1.56	0.65	NaN	NaN	NaN	NaN	NaN	NaN	zi51g12.s1 Soares_fetal_liver_spleen_1NFLS_S1 Homo sapiens cDNA clone IMAGE:434374 3, mRNA sequence
NM_181349.1	ILMN_10493	SMURF1	1.86	0.89	1.64	0.71	1.26	0.34	1.01	0.01	Homo sapiens SMAD specific E3 ubiquitin protein ligase 1 (SMURF1), transcript variant 2, mRNA.
