Gene Name	Common	Genbank	Description
186748	MRPL15	NM_014175.2	mitochondrial ribosomal protein L15
156527	XBP1	NM_005080.2	X-box binding protein 1
120568	DDAH2	NM_013974.1	dimethylarginine dimethylaminohydrolase 2
195648	null		
138550	PBP	NM_002567.2	prostatic binding protein
195718	LOC441542		
194318	C8orf35	NM_018142.1	hypothetical protein FLJ10569
124318	STAU1	NM_017454.1	staufen, RNA binding protein (Drosophila)
179683	PSMA6	NM_002791.1	proteasome (prosome, macropain) subunit, alpha type, 6
206078	LOC442513		
235285	null		
173614	DGCR6|DGCR6L	NM_005675.2	DiGeorge syndrome critical region gene 6
139126	HRSP12	NM_005836.1	heat-responsive protein 12
151377	RNF103	NM_005667.2	ring finger protein 103
176382	MRPL10	NM_148887.1	mitochondrial ribosomal protein L10
105427	SSFA2	NM_006751.3	sperm specific antigen 2
146009	null		
236042	null		
130326	RBL2	NM_005611.2	retinoblastoma-like 2 (p130)
118813	Magmas|CORO7	NM_024535.1	hypothetical protein FLJ22021
155603	null		
148222	RPL41	NM_018704.1	hypothetical protein DKFZp547A023
203967	null		
188077	SETX	NM_015046.4	senataxin
235976	PDCD6		
207491	DKFZp564J157|LOC440525	NM_018457.2	DKFZp564J157 protein
150009	SRP19	NM_000038.2	adenomatosis polyposis coli
233478	null	AL137843.4_CDS_1	
204895	HDCMA18P	NM_016648.1	HDCMA18P protein
135833	RPL6|LOC388460	NM_000970.2	ribosomal protein L6
118423	ATP6V1C1	NM_001695.2	ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C, isoform 1
184793	CD9	NM_001769.2	CD9 antigen (p24)
194689	GABARAPL2	NM_007285.6	GABA(A) receptor-associated protein-like 2
194325	SSR1	NM_003144.2	signal sequence receptor, alpha (translocon-associated protein alpha)
166395	LOC130502	BC070381.1	
236668	null		
135900	HBLD2|LOC389293	NM_030940.2	HESB like domain containing 2
117568	SNF8	NM_007241.2	EAP30 subunit of ELL complex
174233	UXT	NM_004182.2	ubiquitously-expressed transcript
143486	null		
116867	MTCBP-1	NM_018269.1	SIPL protein
107338	TAF9	NM_016283.3	TAF9 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 32kDa
107682	SEC11L2	AX399071.1_CDS_1	
126331	C6orf111	NM_032870.1	chromosome 6 open reading frame 111
151395	LOC220906	BC036861.1	ribosomal protein L7-like 1
217279	RPL26	NM_000987.2	ribosomal protein L26;hypothetical protein LOC124751
142644	SAT	NM_002970.1	spermidine/spermine N1-acetyltransferase
100845	C18orf8	NM_013326.2	chromosome 18 open reading frame 8
170947	LOC440086		
126759	TFPI	NM_006287.3	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)
124489	HNRPF	NM_004966.2	heterogeneous nuclear ribonucleoprotein F
100356	RANBP1	NM_002882.2	RAN binding protein 1
167701	CDK9	NM_001261.2	cyclin-dependent kinase 9 (CDC2-related kinase)
161976	null		
208250	null		
201530	ASCC3L1	NM_014014.2	U5 snRNP-specific protein, 200-KD
174731	HMGCR	NM_000859.1	3-hydroxy-3-methylglutaryl-Coenzyme A reductase
127704	ATOX1	NM_004045.2	ATX1 antioxidant protein 1 homolog (yeast)
119685	MT1X	NM_005952.2	metallothionein 1X
132618	PTGES3	NM_006601.4	unactive progesterone receptor, 23 kD
203546	null	NM_000992.2	ribosomal protein L29
111844	HIST1H2AK	NM_003510.2	histone 1, H2ak
235853	null		
198651	TXNL5	NM_032731.2	thioredoxin-like 5
235531	TEX11		
236583	RPL15		
139760	LOC128153	X04802.1_CDS_1	
235478	null		
192716	CSNK1A1L	NM_145203.2	casein kinase 1, alpha 1-like
118229	LOC402057	NM_001021.2	ribosomal protein S17
207626	ANXA2	NM_004039.1	annexin A2
189687	AHCY	NM_000687.1	S-adenosylhomocysteine hydrolase
210030	null	M22878.1_CDS_1	
143725	MGC72080|LOC442600|ASNS	NM_001673.2	asparagine synthetase
176593	GRWD1	BC002440.2	glutamate-rich WD repeat containing 1
170083	LOC441122|LOC440018|LOC441185|LOC442492|LOC440547|LOC440395		
187155	SNRPE	S60260.1	
183517	C3orf1	NM_016589.1	chromosome 3 open reading frame 1
136195	LOC284393	NM_006013.2	ribosomal protein L10
112430	ZNF358	NM_018083.2	zinc finger protein 358;FLJ35784 protein
680473	MGC72104	NM_207350.1	similar to FRG1 protein (FSHD region gene 1 protein)
100757	null		
103214	FAM91A2	NM_144963.1	hypothetical protein FLJ23790
195167	TMEM49	NM_030938.2	likely ortholog of rat vacuole membrane protein 1
228055	null		
228200	null		
705226	COX6A1	NM_004373.2	cytochrome c oxidase subunit VIa polypeptide 1
201283	EPS15L2	NM_018510.1	
170799	SCO1	NM_004589.1	SCO cytochrome oxidase deficient homolog 1 (yeast)
107157	RABGGTB	NM_004582.2	Rab geranylgeranyltransferase, beta subunit
129431	LOC387907	NM_001011.2	ribosomal protein S7
182305	MT1A	NM_005946.1	metallothionein 2A;metallothionein 1K;metallothionein 1E (functional);metallothionein 1A (functional)
169068	C20orf155	NM_019095.3	chromosome 20 open reading frame 155
102514	null		
198718	RNF11	NM_014372.3	ring finger protein 11
217339	C6orf69	NM_173562.3	chromosome 6 open reading frame 69
235671	null		
149319	LOC441805		
180695	SAMM50	NM_015380.3	CGI-51 protein
185088	STRN3	NM_014574.2	striatin, calmodulin binding protein 3
151483	KIAA1191	NM_020444.2	KIAA1191 protein
102125	DNTTIP1	NM_052951.2	deoxynucleotidyltransferase, terminal, interacting protein 1
179419	null		
165626	SNX2	NM_003100.2	sorting nexin 2
135004	GPR27	NM_018971.1	G protein-coupled receptor 27
211722	ZNF676	NM_001001411.1	similar to Zinc finger protein 208
230460	null		
124354	ZNF91		zinc finger protein 91 (HPF7, HTF10)
464116	XAGE1	NM_020411.1	G antigen, family D, 2
121335	SLC25A13	NM_014251.1	solute carrier family 25, member 13 (citrin)
218005	G10	NM_003910.2	maternal G10 transcript
164167	C1orf26		
188719	LOC391540		
125266	MUM1	NM_032853.2	melanoma associated antigen (mutated) 1
148241	METTL5	NM_014168.1	HSPC133 protein
175988	RPS2		
168024	PRKRA	NM_003690.3	protein kinase, interferon-inducible double stranded RNA dependent activator
211174	UNC84B	NM_015374.1	unc-84 homolog B (C. elegans)
205393	MBD4	NM_003925.1	methyl-CpG binding domain protein 4
192726	SKP1A	NM_006930.2	S-phase kinase-associated protein 1A (p19A)
204665	ACADM	NM_000016.2	acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain
153960	PSMC2	NM_002803.2	proteasome (prosome, macropain) 26S subunit, ATPase, 2
139305	TERF2IP	NM_018975.1	telomeric repeat binding factor 2, interacting protein
143439	PUS3	NM_031307.2	hypothetical protein FKSG32
213466	LOC286348		
223157	APLP2	NM_001642.1	amyloid beta (A4) precursor-like protein 2
207375	DHRS1	NM_138452.1	dehydrogenase/reductase (SDR family) member 1
166681	GPIAP1	NM_203364.1	membrane component, chromosome 11, surface marker 1
123465	NDFIP2	BC026126.2	
154193	null		
170722	EXOSC8	NM_181503.1	exosome component 8
109003	null		
130711	null		
153244	GPX1	M21304.1	glutathione peroxidase 1
155784	C1orf26		
119063	PON2	NM_000305.1	paraoxonase 2
119192	RetSat	NM_017750.2	hypothetical protein FLJ20296
171265	HMGN2	NM_005517.1	high-mobility group nucleosomal binding domain 2
133356	null		
129646	BCLAF1	NM_014739.1	BCL2-associated transcription factor 1
135285	ITM1	NM_001274.2	integral membrane protein 1;CHK1 checkpoint homolog (S. pombe)
189366	PTPLB	NM_198402.2	protein tyrosine phosphatase-like (proline instead of catalytic arginine), member b
206676	CIP29	NM_033082.1	cytokine induced protein 29 kDa;DnaJ (Hsp40) homolog, subfamily C, member 14
195726	SHC1	NM_183001.2	SHC (Src homology 2 domain containing) transforming protein 1
236348	LOC441209|LOC442525		
148420	HIST1H2BC	Z80783.1_CDS_1	histone 1, H2bc
191565	FAM61A	NM_015578.1	chromosome 19 open reading frame 13
102465	HBLD1	NM_194279.1	HESB like domain containing 1
170017	null		
125210	HDLBP	NM_203346.1	high density lipoprotein binding protein (vigilin)
230054	LOC344382		
141898	C14orf24	NM_173607.2	signal recognition particle 54kDa;chromosome 14 open reading frame 24
121231	SUPT6H	NM_003170.2	
165005	TUSC4	NM_006545.3	tumor suppressor candidate 4
107290	DHX36	NM_020865.1	DEAH (Asp-Glu-Ala-His) box polypeptide 36
205347	null		
209815	TCEA1	NM_006756.2	transcription elongation factor A (SII), 1
103413	null		
228286	null		
169951	RPS18	NM_022551.2	ribosomal protein S18
120515	COMMD1	NM_152516.1	copper metabolism (Murr1) domain containing 1
173173	ARS2	NM_182800.1	arsenate resistance protein ARS2
101113	LOC284230	NM_021029.3	ribosomal protein L36a
107710	HNRPC	NM_031314.1	heterogeneous nuclear ribonucleoprotein C (C1/C2)
161819	EXOSC7	NM_015004.2	exosome component 7
183414	RNASE4	NM_002937.3	angiogenin, ribonuclease, RNase A family, 5;ribonuclease, RNase A family, 4
163840	null		
159112	LBR	NM_194442.1	lamin B receptor
128505	MRPL1	NM_020236.2	mitochondrial ribosomal protein L1
136848	PARK7	NM_007262.3	Parkinson disease (autosomal recessive, early onset) 7
198352	TUBA4	NM_025019.1	tubulin, alpha 4
235229	LOC389156		
222346	TUBB	NM_178014.2	beta 5-tubulin
133352	TFG	NM_006070.3	TRK-fused gene
490209	C15orf27	AK056777.1	
590611	LOC220906	BC036861.1	ribosomal protein L7-like 1
128174	CLU	NM_001831.2	clusterin (complement lysis inhibitor, SP-40,40, sulfated glycoprotein 2, testosterone-repressed prostate message 2, apolipoprotein J)
201746	null		
120955	PINK1	NM_032409.1	PTEN induced putative kinase 1
196081	COX8A	NM_175609.1	ADP-ribosylation factor GTPase activating protein 1
236125	VTI1B	NM_006370.1	vesicle transport through interaction with t-SNAREs homolog 1B (yeast)
127770	TIRAP	NM_148910.1	toll-interleukin 1 receptor (TIR) domain containing adaptor protein
137559	AGL	NM_000646.1	amylo-1, 6-glucosidase, 4-alpha-glucanotransferase (glycogen debranching enzyme, glycogen storage disease type III)
110046	UTP14C	D87455.1	
136522	TMEM18	NM_152834.2	transmembrane protein 18
174605	GGH	NM_003878.1	gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase)
134984	MRPL19	NM_014763.2	mitochondrial ribosomal protein L19
175816	RNPC3	NM_000699.2	hypothetical protein FLJ25070;amylase, alpha 2B; pancreatic;amylase, alpha 2A; pancreatic;amylase, alpha 1A; salivary
143873	MRPL50	NM_001016.2	ribosomal protein S12
171202	SIVA	NM_006427.2	CD27-binding (Siva) protein
169857	null		
104945	THRAP3	NM_005119.1	thyroid hormone receptor associated protein 3
121408	OAF		NS5ATP13TP2 protein
126773	TMEM77		hypothetical protein MGC54289
194210	FAM48A		
168402	LACTB2	NM_016027.1	lactamase, beta 2
117625	IPLA2(GAMMA)	NM_015723.2	intracellular membrane-associated calcium-independent phospholipase A2 gamma
205937	PGM3	NM_015599.1	phosphoglucomutase 3
180202	CYP27A1	NM_000784.2	cytochrome P450, family 27, subfamily A, polypeptide 1
212496	MAF1	NM_032272.2	homolog of yeast MAF1
235548	RPL7A	NM_000972.2	ribosomal protein L7a
131844	null		
210049	H2AFY	NM_138609.1	H2A histone family, member Y
110884	NR3C1	NM_000176.1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)
200774	NONO		
226856	BAIAP2	NM_017451.1	BAI1-associated protein 2
105289	null		
107034	TMEM59	NM_004872.3	chromosome 1 open reading frame 8
178238	LMO4	NM_006769.2	LIM domain only 4
207854	ALG2	NM_033087.1	asparagine-linked glycosylation 2 homolog (yeast, alpha-1,3-mannosyltransferase)
153949	MDH2	NM_005918.2	malate dehydrogenase 2, NAD (mitochondrial)
234701	LOC389168		
169718	RDBP	NM_002904.4	RD RNA binding protein
128667	RPL31	NM_000993.2	ribosomal protein L31
204262	ATF5	NM_016553.3	nucleoporin 62kDa
115438	SPCS2	NM_014752.1	KIAA0102 gene product
210534	TMED10P	AJ004914.1	
125804	mimitin	NM_174889.2	hypothetical protein LOC91942
189365	MTHFD1	NM_005956.2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent), methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase
152311	COPS6	NM_006833.4	COP9 constitutive photomorphogenic homolog subunit 6 (Arabidopsis)
234736	SEPT7	NM_001788.2	CDC10 cell division cycle 10 homolog (S. cerevisiae)
180479	RPL13A	NM_012423.2	ribosomal protein L13a
217443	TUBA3	NM_006009.2	tubulin, alpha 3
705174	null		
236741	null		
697295	null	AK023598.1	
105431	null		
139014	ADIPOR2	NM_024551.2	adiponectin receptor 2
105959	BZRP	NM_007311.2	benzodiazapine receptor (peripheral)
176083	SERINC2	NM_178865.2	tumor differentially expressed 2-like
150921	POLD2	NM_006230.1	polymerase (DNA directed), delta 2, regulatory subunit 50kDa
116882	NFE2L1	NM_003204.1	nuclear factor (erythroid-derived 2)-like 1
172785	null		
229397	null		
155797	MGC88387	NM_001001683.1	similar to HSPC296
116678	FBXO9	NM_033481.1	F-box protein 9
174855	LOC441837		
181759	ZNF679	NM_153363.1	hypothetical protein MGC42415
108451	EIF3S6	NM_001568.1	eukaryotic translation initiation factor 3, subunit 6 48kDa
104245	PSMC5	NM_002805.4	proteasome (prosome, macropain) 26S subunit, ATPase, 5
131693	E4F1	NM_004424.2	E4F transcription factor 1
144606	LOC401895		
191292	STRAP	NM_007178.2	serine/threonine kinase receptor associated protein
162998	CUTC	NM_015960.1	cutC copper transporter homolog (E.coli)
111836	FAM3C	NM_014888.1	family with sequence similarity 3, member C
208277	ADFP	NM_001122.2	adipose differentiation-related protein
208774	null		
115184	SYF2	NM_015484.2	GCIP-interacting protein p29
231711	null		
235617	null		
171969	TRAPPC5	BC042161.1	
159365	PABPC3	NM_002568.2	poly(A) binding protein, cytoplasmic 1
102397	null		
236295	null		
169607	MTDH	NM_178812.2	LYRIC/3D3
184933	CD99	NM_002414.3	CD99 antigen
206703	C9orf16	NM_024112.2	chromosome 9 open reading frame 16
216535	TLOC1	NM_153039.1	translocation protein 1
206833	UBE3C	NM_014671.1	
147923	C19orf10	NM_019107.1	chromosome 19 open reading frame 10
198510	PRKAA1	NM_206907.2	protein kinase, AMP-activated, alpha 1 catalytic subunit
138947	TNFSF5IP1	NM_020232.3	tumor necrosis factor superfamily, member 5-induced protein 1
520680	null		
230080	null		
210319	DJ122O8.2	NM_020466.3	hypothetical protein dJ122O8.2
177026	APH1A	NM_016022.1	likely ortholog of C. elegans anterior pharynx defective 1A
170090	DSP	NM_004415.1	desmoplakin
175296	BCL2L2	NM_004050.2	BCL2-like 2
119636	null		
236278	null		
160490	HSPCA	NM_005348.2	heat shock 90kDa protein 1, alpha
203873	RAD17	NM_133342.1	RAD17 homolog (S. pombe)
236458	RPS7	NM_001011.2	ribosomal protein S7
127871	LOC284064		
147541	ZNF486	NM_052852.1	
460762	LOC440447		
234954	RPL17	NM_000985.2	ribosomal protein L17
103810	SLC15A4	NM_145648.1	solute carrier family 15, member 4
207747	SEC13L1	NM_183352.1	SEC13-like 1 (S. cerevisiae)
161054	IQWD1	AL136738.1	
150696	BRP44	AL035304.1	
163728	C17orf40	NM_018428.1	hepatocellular carcinoma-associated antigen 66
227367	PSMC1	NM_002802.2	proteasome (prosome, macropain) 26S subunit, ATPase, 1
163700	ZNF224	NM_005774.1	zinc finger protein 224
113660	SRP14	NM_003134.2	signal recognition particle 14kDa (homologous Alu RNA binding protein)
171937	EEF1A1	NM_001402.4	eukaryotic translation elongation factor 1 alpha 1
102249	null		
142959	SSBP3		
135639	QARS	NM_005051.1	glutaminyl-tRNA synthetase
144711	MRPL27	NM_016504.2	mitochondrial ribosomal protein L27
182827	OAZ1	NM_004152.2	ornithine decarboxylase antizyme 1
167726	AHCTF1	NM_015446.1	ELYS transcription factor-like protein TMBS62
155861	null		
142746	null		
197267	LOC389435|RPL27A	NM_000990.2	ribosomal protein L27a
203866	ATP6V0E	NM_003945.2	ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e
114255	ZHX1	NM_032847.1	hypothetical protein FLJ14825;zinc fingers and homeoboxes 1
105120	CLK3	NM_003992.1	CDC-like kinase 3
119802	SLC22A7		
128405	LOC441019		
116825	PKIG	NM_181805.1	protein kinase (cAMP-dependent, catalytic) inhibitor gamma
199887	null	BC070367.1	
102483	CYCS	NM_018947.4	cytochrome c, somatic
235600	null		
155235	RBAF600	NM_020765.1	retinoblastoma-associated factor 600
208158	NFE2L2	NM_006164.2	nuclear factor (erythroid-derived 2)-like 2
183150	OXA1L	NM_005015.1	oxidase (cytochrome c) assembly 1-like
703414	LOC440552|ATP13A5	NM_032236.3	ubiquitin specific protease 48
206569	SNRPC	NM_003093.1	small nuclear ribonucleoprotein polypeptide C
108678	LOC344371		
112937	null	BC039555.2	
130427	LOC283871	BC035985.1	
217806	RPLP1	NM_001003.2	ribosomal protein, large, P1
124095	GLO1	NM_006708.1	glyoxalase I
118140	STOML2	NM_013442.1	stomatin (EPB72)-like 2
165456	TXNDC9	NM_005783.3	thioredoxin domain containing 9
219459	RBM16	NM_014892.2	RNA binding motif protein 16
236036	null		
164784	EEF1D	NM_001960.2	eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein)
212298	ZNF9	NM_003418.1	zinc finger protein 9 (a cellular retroviral nucleic acid binding protein)
134498	C14orf156	NM_031210.3	chromosome 14 open reading frame 156
296119	null		
180596	MLXIPL	NM_032954.1	Williams Beuren syndrome chromosome region 14
478137	null		
163441	TPM2	NM_003289.3	tropomyosin 2 (beta)
171134	USP9X	NM_004652.2	ubiquitin specific protease 9, X-linked (fat facets-like, Drosophila)
117637	HSPC176	NM_016209.1	unknown
202399	LOC389428		
214481	C21orf6	NM_016940.1	chromosome 21 open reading frame 6
163843	SMAP	NM_014267.3	small acidic protein
115921	BOLA1	NM_016074.1	CGI-143 protein
219661	KHDRBS1	NM_006559.1	KH domain containing, RNA binding, signal transduction associated 1
184486	NDUFB6	NM_182739.1	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 6, 17kDa
712838	null		
130538	TAF12	NM_005644.2	TAF12 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 20kDa
151391	LGALS8	NM_006499.3	lectin, galactoside-binding, soluble, 8 (galectin 8)
189520	KCMF1	NM_020122.3	potassium channel modulatory factor 1
214770	VGLL4	NM_014667.1	vestigial like 4 (Drosophila)
209114	MASA	NM_021204.1	E-1 enzyme
192835	RRN3	NM_018427.2	RNA polymerase I transcription factor RRN3;similar to RNA polymerase I transcription factor RRN3
105211	null		
210913	ACAA2	NM_006111.1	acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)
106064	null		
109808	LIPA	NM_000235.1	lipase A, lysosomal acid, cholesterol esterase (Wolman disease)
189580	ACTR3	NM_005721.3	ARP3 actin-related protein 3 homolog (yeast)
149912	C6orf82	NM_015921.1	chromosome 6 open reading frame 82
184614	ACBD3	NM_022735.3	acyl-Coenzyme A binding domain containing 3
150776	LUC7L2	NM_016019.1	LUC7-like 2 (S. cerevisiae)
201079	DLST	NM_001933.3	dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex)
157577	SC4MOL	NM_006745.2	sterol-C4-methyl oxidase-like
121941	EML4	NM_019063.2	echinoderm microtubule associated protein like 4
186848	null		
113651	LOC401019|RPS15	NM_001018.2	ribosomal protein S15
185942	ZBTB11	NM_014415.1	zinc finger and BTB domain containing 11
232085	null		
139445	CDC34	NM_004359.1	cell division cycle 34
177914	HSDL2	BC004331.1	chromosome 9 open reading frame 99
193721	UBE2A	NM_003336.2	ubiquitin-conjugating enzyme E2A (RAD6 homolog)
236671	LOC391044		
235925	C10orf26	NM_017787.3	chromosome 10 open reading frame 26
210130	HNRPH2	NM_019597.2	heterogeneous nuclear ribonucleoprotein H2 (H')
235184	null		
112357	FAM82C	NM_018145.1	hypothetical protein FLJ10579
129530	HSPA5	NM_005347.2	heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa)
110205	SNRPF|ENO1	NM_003095.1	small nuclear ribonucleoprotein polypeptide F
197378	CAMKK2	NM_006549.3	calcium/calmodulin-dependent protein kinase kinase 2, beta
159149	RPL35A|LOC441136	NM_018478.1	chromosome 20 open reading frame 35
144569	MT1F	NM_005951.1	metallothionein 1H
193619	NDUFA10	NM_004544.2	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 10, 42kDa
103705	UCHL3	NM_006002.3	ubiquitin carboxyl-terminal esterase L3 (ubiquitin thiolesterase)
134782	null		
228912	null		
193323	null		
162174	SH3GL1	NM_003025.2	SH3-domain GRB2-like 1
120175	HMGN1	NM_004965.6	high-mobility group nucleosome binding domain 1
173964	ELF2	NM_201999.1	E74-like factor 2 (ets domain transcription factor)
210046	PMPCB	NM_004279.1	peptidase (mitochondrial processing) beta
112415	C6orf125	NM_032340.1	chromosome 6 open reading frame 125
229308	LOC391174		
236895	null		
186215	DNAJC7	NM_003315.1	DnaJ (Hsp40) homolog, subfamily C, member 7
154419	GABARAP	NM_015343.3	dullard homolog (Xenopus laevis);GABA(A) receptor-associated protein
156113	RPL10A	NM_007104.3	ribosomal protein L10a
183317	CHCHD1	NM_203298.1	coiled-coil-helix-coiled-coil-helix domain containing 1
155410	HMGN1	NM_004965.6	high-mobility group nucleosome binding domain 1
234676	ZNF699	AK095463.1	
162053	CHCHD8	NM_016565.2	E2IG2 protein
170038	HEBP2	NM_014320.2	heme binding protein 2
182590	null		
201456	null		
108974	FUBP1	NM_003902.2	far upstream element (FUSE) binding protein 1
147592	CCDC50	NM_174908.2	chromosome 3 open reading frame 6
173844	MIF	NM_002415.1	macrophage migration inhibitory factor (glycosylation-inhibiting factor)
233019	null		
167394	TUBB4Q	NM_020040.2	tubulin, beta polypeptide 4, member Q
111573	COPZ1	NM_016057.1	coatomer protein complex, subunit zeta 1
200280	DHRS6		
177491	METAP2	NM_006838.2	methionyl aminopeptidase 2
126675	ATP6V1D	NM_015994.2	ATPase, H+ transporting, lysosomal 34kDa, V1 subunit D
10696147	null		
232935	null	AK095365.1	
211333	SLC39A13	NM_152264.2	solute carrier family 39 (zinc transporter), member 13
219323	SFRS7	NM_006276.36	splicing factor, arginine/serine-rich 7, 35kDa
127354	FTH1	NM_002032.1	ferritin, heavy polypeptide 1
145606	MBD6	NM_052897.3	methyl-CpG binding domain protein 6
236594	LOC392447		
209377	SCD	NM_005063.3	stearoyl-CoA desaturase (delta-9-desaturase)
174672	FPGS	NM_004957.2	folylpolyglutamate synthase
110634	null		
114758	182-FIP	NM_020772.1	82-kD FMRP Interacting Protein
107428	XPNPEP1	NM_020383.2	X-prolyl aminopeptidase (aminopeptidase P) 1, soluble
106007	null		
710945	WDR6	NM_018031.2	WD repeat domain 6
169455	SURF4	NM_033161.2	surfeit 4
209361	JARID1A	NM_005056.1	Jumonji, AT rich interactive domain 1A (RBBP2-like)
191116	EIF4A2	NM_001967.2	eukaryotic translation initiation factor 4A, isoform 2
163944	RPS16	NM_001020.3	ribosomal protein S16
101381	CINP	NM_032630.2	cyclin-dependent kinase 2-interacting protein
149248	HAGH	NM_005326.3	hydroxyacylglutathione hydrolase
224032	TPM3	NM_152263.1	tropomyosin 3
111373	WBP1	NM_031288.1	WW domain binding protein 1;high mobility group AT-hook 1-like 4
174286	KIAA1012	NM_014939.2	KIAA1012
196373	MYL6	NM_021019.2	myosin, light polypeptide 6, alkali, smooth muscle and non-muscle
190329	RARSL	NM_020320.2	arginyl-tRNA synthetase-like
129408	null		
190785	TFRC	NM_003234.1	transferrin receptor (p90, CD71)
177207	CCS	NM_005125.1	copper chaperone for superoxide dismutase
